土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,count_floor,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,time_index
臺北市中山區中山北路一段８３巷１３號,8600000.0,273189.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0500673172297,121.524007218668,正得里,6.14,商,,,1120710,土地1建物1車位0,五層,5,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,740129,31.48,0,0,0,無,有,,陽台外推；頂樓加蓋；夾層；,RPPNMLOJQHIGFCA57DA,22.37,0.0,3.69,有,505.0,2023-07-10,7,31.7427945515625,28.6396920511224,35.3875768019459,0.0,44.5491824477754,63000040003,0.151625645700395,0.554542692190823,76.72,24765.25,51.0008340070889,37.2393661229194,1,0,0,0,0,2,1,0,0,3,51,53,0,6,2,2,0,1,0,51,"c(121.524007218668, 25.0500673172297)",臺北捷運中山站_G14_R11,565.473394188856,883.667068630516,756.783751715467,38,3
臺北市中山區中山北路一段８３巷９號,9360000.0,157735.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0502461870435,121.523399614507,正得里,9.89,商,,,1120708,土地2建物1車位0,四層,4,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,630604,59.34,2,1,1,有,有,,陽台外推；其他增建；,RPXNMLQKQHIGFCA68DA,45.76,0.0,8.0,有,,2023-07-08,9,32.8494944569356,29.3915983433279,37.3303512441678,0.0,53.4223877643494,63000040003,0.151625645700395,0.554542692190823,76.72,24765.25,51.0008340070889,37.2393661229194,0,0,0,0,0,2,1,0,0,3,53,56,0,6,2,2,0,1,0,53,"c(121.523399614507, 25.0502461870435)",臺北捷運中山站_G14_R11,504.267134935644,832.766032640333,707.459362657219,49,3
臺北市中山區中山北路三段２５號,1800000.0,187696.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0652370113252,121.522477018425,晴光里,0.46,商,,,1120709,土地2建物1車位0,二層,2,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,670121,9.59,0,0,0,無,有,,,RPPOMLPLPHIGFCA87DA,5.41,0.0,0.0,有,,2023-07-09,10,31.9614346255955,29.1842880079404,35.0933114101823,0.0,59.210311205330896,63000040011,0.143032034278719,0.515405019383799,73.13,49418.72,48.326015354466,34.49506036375,1,0,0,0,1,0,0,0,0,0,47,48,0,11,0,3,0,4,0,47,"c(121.522477018425, 25.0652370113252)",臺北捷運民權西路站_O11_R13,421.907730345887,2077.71905401587,2023.22623722856,45,3
臺北市中山區中山北路二段１１６巷１２號,18590000.0,232114.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0609170203381,121.521396004372,集英里,28.14,住,,,1120704,土地3建物1車位0,四層,4,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,741212,80.09,5,0,5,有,無,,陽台外推；其他增建；,RPTOMLOJPHIGFCA97DA,65.63,0.0,7.83,無,,2023-07-04,12,31.2841410368418,27.1193493830003,35.6733862583519,0.0,29.6222149600328,63000040008,0.129278830176138,0.514955134596211,80.54,19971.22,54.2440318182484,33.0238726717454,0,0,0,0,0,0,0,0,0,0,67,86,0,10,0,2,0,7,0,67,"c(121.521396004372, 25.0609170203381)",臺北捷運民權西路站_O11_R13,268.515521425008,1590.8786161825,1533.36699297813,38,3
臺北市中山區中山北路二段５９巷７號,26100000.0,248552.0,26.86,2500000.0,63000,中山區,房地(土地+建物)+車位,25.0559760141447,121.523464993352,中山里,15.2,商,,,1120718,土地1建物1車位1,七層,7,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041127,121.81,2,1,1,有,有,升降平面,,RPQNMLRJQHIGFCA08EA,51.62,7.23,3.79,有,,2023-07-18,15,29.514811513001,27.8539064354791,33.9477219581499,5.22612714231919,37.7010838243109,63000040006,0.146443514644351,0.507402639201802,73.41,40896.36,42.8995336916279,31.7083509894641,0,0,0,0,0,0,1,0,0,3,78,82,0,8,2,1,0,4,0,78,"c(121.523464993352, 25.0559760141447)",臺北捷運雙連站_R12,353.279836593143,1220.49110595983,1128.75403078664,8,3
臺北市中山區中山北路二段６２巷８號,15000000.0,254755.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0566469854939,121.522076028177,民安里,10.46,住,,,1120819,土地1建物1車位0,三層,3,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960716,58.88,1,1,1,有,有,,陽台外推；其他增建；,RPXNMLSLQHIGFCA98DA,23.72,0.0,6.66,有,219.0,2023-08-19,16,29.1527737319915,25.844850617152,33.5465097141774,1.89397870570983,33.8743073204316,63000040004,0.147832817337461,0.531475748194014,87.14,19125.48,61.1441307350876,43.9821693744494,0,0,0,0,0,1,0,0,0,3,82,77,0,10,2,1,0,7,0,82,"c(121.522076028177, 25.0566469854939)",臺北捷運雙連站_R12,196.374515471671,1197.72800423177,1119.24409801697,16,3
臺北市中山區中山北路二段６５巷１０號,38580000.0,268888.0,41.12,0.0,63000,中山區,房地(土地+建物)+車位,25.0570240034987,121.524004033545,中山里,13.04,商,,,1120721,土地1建物1車位1,十一層,11,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090428,143.48,2,2,1,有,有,坡道平面,,RPWNMLLKQHIGFCA08DA,55.72,3.2,9.57,有,841.0,2023-07-21,17,30.285528129338,26.7080958545771,34.4654428562546,0.187533796530242,37.4679596879809,63000040006,0.146443514644351,0.507402639201802,73.41,40896.36,42.8995336916279,31.7083509894641,0,0,0,0,0,0,1,0,0,1,80,64,0,10,1,1,0,4,0,80,"c(121.524004033545, 25.0570240034987)",臺北捷運雙連站_R12,356.19874079346,1344.834008485,1255.08847159334,3,3
臺北市中山區五常街１號,24100000.0,213539.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0644289958591,121.537394962058,行孝里,34.0,住,,,1120714,土地1建物1車位0,四層,4,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,681210,112.86,3,2,2,有,無,,,RPQNMLOKQHIGFCA77DA,91.65,0.0,21.21,無,,2023-07-14,18,31.5250683844467,28.3793481419693,34.8001570612231,0.0,29.4533892272433,63000040026,0.11131151765009,0.465601649059521,91.11,35681.21,44.6416610701133,29.9732082953874,0,1,0,0,0,1,1,0,0,0,46,39,0,9,1,1,1,2,3,47,"c(121.537394962058, 25.0644289958591)",臺北捷運行天宮站_O09,623.840593360531,2880.18797201195,2772.57769166205,44,3
臺北市中山區八德路二段１６７巷５號,10000000.0,236911.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0468469900297,121.538216975303,朱崙里,12.24,住,,,1120704,土地1建物1車位0,二層,2,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,841127,42.21,1,1,1,有,無,,,RPPNMLOLPHIGFCA67DA,29.53,2.83,3.53,有,,2023-07-04,20,30.9843117579156,26.7356026397825,35.9195898722488,0.0,26.9815484176794,63000040038,0.173033707865169,0.562546816479401,82.42,23336.39,50.1512096521415,34.5766128857981,0,0,0,0,0,2,2,0,0,0,20,33,0,5,1,1,0,1,0,20,"c(121.538216975303, 25.0468469900297)",臺北捷運忠孝新生站_BL14_O07,739.790889317102,2272.5571885186,2144.44942500872,28,3
臺北市中山區北安路４５８巷４７弄１８號,16300000.0,302805.0,0.0,0.0,63000,中山區,房地(土地+建物),25.0781899853974,121.546150027563,永安里,12.64,住,,,1120703,土地1建物1車位0,四層,4,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,961219,53.83,1,1,1,有,有,,,RPRNMLMLPHIGFCA67DA,31.01,1.9,2.94,有,507.0,2023-07-03,22,30.2655056498282,26.8743627046445,34.5146684211916,0.0,36.3173994727439,63000040016,0.199924461790256,0.637164799194259,84.96,27316.52,51.6688481590856,29.9574607280829,0,0,0,0,0,0,0,0,0,0,14,21,0,5,1,2,0,1,1,14,"c(121.546150027563, 25.0781899853974)",臺北捷運大直站_BR14,156.720802272742,4559.21639480466,4481.90391101978,16,3
