土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,lat,lng,nomi_address,里,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中山北路三段３９號七樓之１,5200000,207751,0,0,63000,中山區,房地(土地+建物),2.43,商,NA,NA,1130409,土地3建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,711127,25.03,1,1,1,有,有,NA,陽台外推；,RPORMLMJNHJGFCA47DA,17.28,0,3.31,有,NA,25.066037985992600,121.52253300953800,"39號, 中山北路三段, 晴光里, 中山區, 雙連, 臺北市, 104, 臺灣",晴光里,2024-04-09,15,19.13958834674680,18.54579908811530,19.72141954993550,0.8781023091010580,46.17326281607390,63000040011,0.14442449630959500,0.533213644524237,71.9,49665.59,49.02606308668700,35.22633743889540,1,0,0,0,1,0,0,0,0,0,43,43,0,10,0,3,0,3,0,43,"c(121.522533009538, 25.0660379859926)",臺北捷運民權西路站_O11_R13,491.2865367683660,2163.496797106460,2110.185166606370,42
臺北市中山區中山北路二段１１５巷３弄１０號四樓之２,12000000,226672,0,0,63000,中山區,房地(土地+建物),8.87,商,NA,NA,1130502,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710825,52.94,4,0,4,有,有,NA,NA,RPVNMLKKNHJGFCA67DA,38.29,3.37,1.55,有,NA,25.06136901446680,121.52375802468700,"10號, 中山北路二段115巷3弄, 聚葉里, 中山區, 雙連, 臺北市, 104, 臺灣",聚葉里,2024-05-02,18,21.60138760151150,20.64433746316760,22.93172228351190,9.582367336507380,41.948061421457700,63000040009,0.1214265496744980,0.497594112652137,79.61,29859.86,48.66743914690330,35.689455374395700,0,0,0,0,0,0,0,0,0,0,74,81,0,12,1,3,0,5,0,74,"c(121.523758024687, 25.0613690144668)",臺北捷運中山國小站_O10,338.99956082720900,1735.6130939278600,1664.2217049419900,42
臺北市中山區中山北路二段５９巷２８號五樓,11460000,220639,0,0,63000,中山區,房地(土地+建物),4.43,商,NA,NA,1130412,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780522,51.94,3,2,2,有,無,NA,其他增建；,RPWNMLMKMHJGFCA87DA,33.53,13.26,0,無,546,25.05578201499570,121.5241099808010,"26號, 中山北路二段59巷, 中山里, 中山區, 南西商圈, 臺北市, 104, 臺灣",中山里,2024-04-12,20,25.57631647542890,22.398677462351200,28.719732548549100,0,91.55777096859760,63000040006,0.14903389293633200,0.5163129553373460,72.22,41066.2,43.706219477031200,32.6045425530451,0,0,0,0,0,0,1,0,0,3,83,81,0,7,2,1,0,3,0,83,"c(121.524109980801, 25.0557820149957)",臺北捷運雙連站_R12,419.5966797031990,1247.371015353160,1150.808484198500,35
臺北市中山區中山北路二段５９巷７號二樓之１,30000000,303521,0,0,63000,中山區,房地(土地+建物),15.39,商,NA,NA,1130413,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041127,98.84,3,2,1,有,有,NA,夾層；其他增建；,RPSPMLNLMHJGFCA87DA,50.57,10.92,3.79,有,NA,25.055976014144700,121.5234649933520,"7之1號, 中山北路二段59巷, 中山里, 中山區, 南西商圈, 臺北市, 104, 臺灣",中山里,2024-04-13,23,26.044100413677300,24.321052515763700,28.297341829366700,0,86.92270617218420,63000040006,0.14903389293633200,0.5163129553373460,72.22,41066.2,43.706219477031200,32.6045425530451,0,0,0,0,0,0,1,0,0,3,78,82,0,8,2,1,0,4,0,78,"c(121.523464993352, 25.0559760141447)",臺北捷運雙連站_R12,353.27983657589800,1220.4911059471000,1128.75403077521,9
臺北市中山區中山北路二段６２巷９之１號,14500000,220532,0,0,63000,中山區,房地(土地+建物),9.83,住,NA,NA,1130402,土地1建物2車位0,一層，地下一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971031,65.75,1,1,1,有,有,NA,陽台外推；其他增建；,RPOOMLTLNHJGFCA08DA,28.25,1.25,2.97,有,771,25.056745011851500,121.5220140020930,"La Belleza Hair Salon, 中山北路二段62巷, 民安里, 中山區, 南西商圈, 臺北市, 10448, 臺灣",民安里,2024-04-02,25,26.733709600913900,22.012162331341100,32.15931138205220,0.1904385721722490,63.67280935185920,63000040004,0.15217391304347800,0.5416448402304870,87.31,19068.16,63.76372583727240,45.778114333291100,0,0,0,0,0,1,0,0,0,3,84,76,0,10,2,1,0,7,0,84,"c(121.522014002093, 25.0567450118515)",臺北捷運雙連站_R12,184.70731906816000,1203.58432660681,1126.0667974742500,16
臺北市中山區中山北路二段７２巷９號六樓之７,12500000,298045,0,0,63000,中山區,房地(土地+建物),6.41,商,NA,NA,1130424,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970429,41.94,1,1,1,有,有,NA,車位:機車位10號,RPOOMLPKNHJGFCA57DA,20.48,2.68,0,有,837,25.057107990168500,121.5221859987460,"9號, 中山北路二段72巷, 民安里, 中山區, 南西商圈, 臺北市, 104, 臺灣",民安里,2024-04-24,26,21.43367291370990,19.48704766231080,25.23157508032950,40.64003841628910,51.40872760266150,63000040004,0.15217391304347800,0.5416448402304870,87.31,19068.16,63.76372583727240,45.778114333291100,0,0,0,0,0,1,0,0,0,0,79,74,0,9,1,1,0,7,0,79,"c(121.522185998746, 25.0571079901685)",臺北捷運雙連站_R12,178.7784560070780,1246.903289845270,1169.7818357110100,16
臺北市中山區五常街６５號四樓,17000000,177973,0,0,63000,中山區,房地(土地+建物),38,住,NA,NA,1130411,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650217,95.52,3,2,1,有,無,NA,頂樓加蓋；,RPUNMLKLNHJGFCA77EA,90.89,0,4.63,無,NA,25.064440981980600,121.54004397873800,"四季香頂級手工饅頭, 五常街, 行仁里, 中山區, 下埤頭, 臺北市, 104477, 臺灣",行仁里,2024-04-11,34,24.569158921558500,20.93900790551930,28.836307031948100,0,67.20941509019430,63000040025,0.0956767196553261,0.41791709998514300,87.33,38206.8,49.91001798642070,35.27294540386460,0,0,0,0,0,0,1,0,0,0,34,34,0,9,0,1,2,1,2,36,"c(121.540043978738, 25.0644409819806)",臺北捷運中山國中站_BR12,569.0738223266980,3088.9537888293700,2977.3210051297100,48
臺北市中山區伊通街１２９號七樓之１,7000000,116647,0,0,63000,中山區,房地(土地+建物)+車位,7.22,商,NA,NA,1130514,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,911029,60.010000000000000,0,0,0,無,有,升降機械,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMLNHJGFCA87EA,25.13,0.38,2.41,有,NA,25.054404994032500,121.5349920380560,"瑞麟美而美, 133, 伊通街, 中央里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",中央里,2024-05-14,36,20.791988500547200,18.58990747403940,22.627614596882300,1.4636596617026600,48.086008098357300,63000040033,0.16058621764889300,0.5715622076707200,87.38,14924.35,56.75675673278850,35.05067566087390,1,0,0,0,0,0,0,0,0,0,58,50,0,8,1,2,0,1,0,58,"c(121.534992038056, 25.0544049940325)",臺北捷運松江南京站_G15_O08,309.72239145233200,2089.887037729410,1964.2243920980700,22
臺北市中山區八德路二段８８巷２號三樓,21000000,240770,0,0,63000,中山區,房地(土地+建物),29.75,住,NA,NA,1130428,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640722,87.22,3,2,1,有,無,NA,含裝潢費；,RPOOMLNKNHJGFCA37DA,77.26,0,9.96,無,NA,25.045419007095200,121.5357940185520,"2號, 八德路二段88巷, 朱園里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",朱園里,2024-04-28,40,27.080250184478400,24.796434254532100,32.594395596164800,0.6308744537787550,44.13585243190440,63000040036,0.18483533316313500,0.6065866734745980,81.74,16150.82,54.42294400330930,36.24740841871200,0,0,0,0,1,2,2,0,0,0,21,39,0,4,0,2,0,0,0,21,"c(121.535794018552, 25.0454190070952)",臺北捷運忠孝新生站_BL14_O07,461.444426517677,2040.1909477343100,1914.3401902105800,49
臺北市中山區北安路６０８巷４弄６之２號四樓,10000000,256871,0,0,63000,中山區,房地(土地+建物),9.27,住,NA,NA,1130426,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850216,38.93,1,1,1,有,無,NA,NA,RPSNMLLLNHJGFCA67EA,24.61,2,4.38,有,NA,25.081384999249800,121.5493089992320,"8號, 北安路608巷4弄, 成功里, 中山區, 下塔悠, 臺北市, 104, 臺灣",成功里,2024-04-26,42,23.995007062821200,22.002204933611200,27.678214372933000,24.039802851447500,52.05052452868130,63000040015,0.19829153035259900,0.6424936386768450,84.03,10330.3,55.120481914939600,28.243744201055700,0,0,0,0,1,0,1,0,0,0,28,46,0,11,0,2,0,2,0,28,"c(121.549308999232, 25.0813849992498)",臺北捷運大直站_BR14,336.1723559682820,4606.668664987460,4958.078250938490,28
