土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,lat,lng,nomi_address,村里,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中山北路一段１２１巷３３號六樓之１,21280000,190972,42.64,0,63000,中山區,房地(土地+建物)+車位,7.36,商,NA,NA,1130804,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,111.43,1,1,1,有,有,升降平面,NA,RPWOMLKLQHJGFCA28DA,40.56,1.2,4.97,有,NA,25.050893018511500,121.52466000128800,"33號, 中山北路一段121巷, 正得里, 中山區, 南西商圈, 臺北市, 104, 臺灣",正得里,2024-08-04,7,31.66489985918760,28.859192362953300,36.18798525015290,0,50.85340282886660,63000040003,0.15657311669128500,0.5692762186115210,75.99,25469.7,52.49795248,38.6158886,1,0,0,0,0,0,0,0,0,3,63,60,0,5,2,1,0,1,0,63,"c(121.524660001288, 25.0508930185115)",臺北捷運中山站_G14_R11,577.9400008800020,977.4791546687240,852.848818401318,13
臺北市中山區中山北路一段５３巷４之２號四樓,8000000,124012,0,0,63000,中山區,房地(土地+建物),18.39,商,NA,NA,1130705,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670829,64.51,3,2,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOOMLRJQHJGFCA97DA,60.29,0,4.22,無,NA,25.049197988141900,121.52195599932300,"4之2號, 中山北路一段53巷, 正得里, 中山區, 南西商圈, 臺北市, 104, 臺灣",正得里,2024-07-05,8,31.77185891851870,28.501624065271700,34.983237823130000,0,30.387071786050000,63000040003,0.15657311669128500,0.5692762186115210,75.99,25469.7,52.49795248,38.6158886,0,0,0,0,0,2,1,0,0,3,48,53,0,5,2,5,0,1,0,48,"c(121.521955999323, 25.0491979881419)",臺北捷運中山站_G14_R11,492.78232683257400,657.272485264309,529.4732960437280,46
臺北市中山區中山北路一段５３巷８號五樓之１２,17580000,298160,39.12,3000000,63000,中山區,房地(土地+建物)+車位,7.53,商,NA,NA,1130707,土地1建物1車位2,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970104,88.02,2,2,1,有,有,坡道機械,陽台外推；夾層；其他增建；,RPWOMLMLPHJGFCA38DA,25.14,4.51,2.54,有,NA,25.049101009522100,121.52212699014800,"8號, 中山北路一段53巷, 正得里, 中山區, 南西商圈, 臺北市, 104, 臺灣",正得里,2024-07-07,9,30.466781822160600,27.703763996951300,35.00608910691280,9.78097031323774,35.36474363490270,63000040003,0.15657311669128500,0.5692762186115210,75.99,25469.7,52.49795248,38.6158886,0,0,0,0,0,2,1,0,0,3,50,52,0,6,2,5,0,1,0,50,"c(121.522126990148, 25.0491010095221)",臺北捷運中山站_G14_R11,511.0038967798100,670.9613160343790,542.6151419178880,16
臺北市中山區中山北路三段３９號七樓之１２,8250000,255576,0,0,63000,中山區,房地(土地+建物),3.33,商,NA,NA,1130706,土地3建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,711127,32.28,1,1,1,有,有,NA,NA,RPTOMLPJQHJGFCA28DA,24.14,0,1.99,有,360,25.066037985992600,121.52253300953800,"39號, 中山北路三段, 晴光里, 中山區, 雙連, 臺北市, 104, 臺灣",晴光里,2024-07-06,12,30.927310422050900,28.518818167413800,35.03206415050400,17.14503127067080,34.5208459269739,63000040011,0.14442449630959500,0.533213644524237,71.44,50707.91,51.24079628,36.70575401,1,0,0,0,1,0,0,0,0,0,43,43,0,10,0,3,0,3,0,43,"c(121.522533009538, 25.0660379859926)",臺北捷運民權西路站_O11_R13,491.2865367683660,2163.496797106460,2110.185166606370,42
臺北市中山區中山北路二段１６巷２３之１號六樓,32000000,250254,0,0,63000,中山區,房地(土地+建物),28.5,商,NA,NA,1130729,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,661026,127.87,3,2,2,有,無,NA,NA,RPPNMLQKQHJGFCA97DA,118.42,0,9.45,有,NA,25.053202987207700,121.52087096195700,"米郎其咖啡館, 中山北路二段16巷, 民安里, 中山區, 南西商圈, 臺北市, 104002, 臺灣",民安里,2024-07-29,13,30.549035196583400,28.54615609847310,33.400882795703300,0,17.899041158033900,63000040004,0.15217391304347800,0.5416448402304870,87.27,18874.17,64.90755005,47.07241909,0,0,0,0,0,1,0,0,0,2,67,77,0,8,4,1,0,3,0,67,"c(121.520870961957, 25.0532029872077)",臺北捷運中山站_G14_R11,148.11819994904200,816.9697653184570,727.6200834782930,47
臺北市中山區中山北路二段６２巷９之１號,15880000,241521,0,0,63000,中山區,房地(土地+建物),9.83,住,NA,NA,1130812,土地1建物2車位0,一層，地下一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971031,65.75,0,0,0,無,有,NA,NA,RPQNMLQJRHJGFCA18EA,28.25,1.25,2.97,有,175,25.056745011851500,121.5220140020930,"La Belleza Hair Salon, 中山北路二段62巷, 民安里, 中山區, 南西商圈, 臺北市, 10448, 臺灣",民安里,2024-08-12,18,29.87366744347320,27.461797719182800,35.04301856267560,10.157919255886600,49.99813329332630,63000040004,0.15217391304347800,0.5416448402304870,87.27,18874.17,64.90755005,47.07241909,0,0,0,0,0,1,0,0,0,3,84,76,0,10,2,1,0,7,0,84,"c(121.522014002093, 25.0567450118515)",臺北捷運雙連站_R12,184.70731906816000,1203.58432660681,1126.0667974742500,16
臺北市中山區中山北路二段７７巷１２號七樓,26840000,399940,0,0,63000,中山區,房地(土地+建物),5.34,商,NA,NA,1130728,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121116,67.11,2,1,2,有,有,NA,含裝潢費；含傢俱設備費；,RPVOMLNJRHJGFCA38DA,39.39,0,3.69,有,NA,25.05738601789690,121.52416102659200,"麵店, 中山北路二段77巷, 中山里, 中山區, 南西商圈, 臺北市, 104011, 臺灣",中山里,2024-07-28,20,30.666808141829600,27.47932304952770,33.51497569128330,0,29.01172079950320,63000040006,0.14903389293633200,0.5163129553373460,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,72,0,9,2,1,0,4,0,81,"c(121.524161026592, 25.0573860178969)",臺北捷運雙連站_R12,364.8092568660850,1386.1336074335500,1297.1658051095500,1
臺北市中山區中山北路二段７７巷１２號七樓之１,16140000,380481,0,0,63000,中山區,房地(土地+建物),3.38,商,NA,NA,1130707,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121116,42.42,1,1,1,有,有,NA,NA,RPSNMLLJQHJGFCA77EA,23.2,0,4.04,有,NA,25.05738601789690,121.52416102659200,"麵店, 中山北路二段77巷, 中山里, 中山區, 南西商圈, 臺北市, 104011, 臺灣",中山里,2024-07-07,21,30.69631605575490,27.82184714084630,34.95218858687090,14.224248090623900,37.05928083336100,63000040006,0.14903389293633200,0.5163129553373460,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,72,0,9,2,1,0,4,0,81,"c(121.524161026592, 25.0573860178969)",臺北捷運雙連站_R12,364.8092568660850,1386.1336074335500,1297.1658051095500,1
臺北市中山區中山北路二段７７巷１２號九樓,25550000,380718,0,0,63000,中山區,房地(土地+建物),5.34,商,NA,NA,1130707,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121116,67.11,2,1,2,有,有,NA,NA,RPPNMLKLQHJGFCA57EA,39.39,0,3.69,有,NA,25.05738601789690,121.52416102659200,"麵店, 中山北路二段77巷, 中山里, 中山區, 南西商圈, 臺北市, 104011, 臺灣",中山里,2024-07-07,22,30.69631605575490,27.82184714084630,34.95218858687090,14.224248090623900,37.05928083336100,63000040006,0.14903389293633200,0.5163129553373460,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,72,0,9,2,1,0,4,0,81,"c(121.524161026592, 25.0573860178969)",臺北捷運雙連站_R12,364.8092568660850,1386.1336074335500,1297.1658051095500,1
臺北市中山區中山北路二段７７巷１２號九樓之１,16600000,391325,0,0,63000,中山區,房地(土地+建物),3.38,商,NA,NA,1130723,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1121116,42.42,1,1,1,有,有,NA,NA,RPUNMLSLQHJGFCA88EA,23.2,0,4.04,有,NA,25.05738601789690,121.52416102659200,"麵店, 中山北路二段77巷, 中山里, 中山區, 南西商圈, 臺北市, 104011, 臺灣",中山里,2024-07-23,23,29.89697651745170,27.890595546753100,32.694452635884200,24.078972730309000,19.57108109730990,63000040006,0.14903389293633200,0.5163129553373460,72.8,41381.63,44.2588285,33.5165997,0,0,0,0,0,0,1,0,0,1,81,72,0,9,2,1,0,4,0,81,"c(121.524161026592, 25.0573860178969)",臺北捷運雙連站_R12,364.8092568660850,1386.1336074335500,1297.1658051095500,1
