土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,count_floor,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,緯度,經度,nomi_address,里,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,time_index,村里
臺北市中山區中山北路三段３９號七樓之１,5200000.0,207751.0,0.0,0.0,63000,中山區,房地(土地+建物),2.43,商,,,1130409,土地3建物1車位0,七層,7.0,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,711127,25.03,1,1,1,有,有,,陽台外推；,RPORMLMJNHJGFCA47DA,17.28,0.0,3.31,有,,25.0660379859926,121.522533009538,"39號, 中山北路三段, 晴光里, 中山區, 雙連, 臺北市, 104, 臺灣",晴光里,2024-04-09,15,19.1395883467468,18.5457990881153,19.7214195499355,0.878102309101058,46.1732628160739,63000040011,0.144424496309595,0.533213644524237,71.9,49665.59,49.026063086687,35.2263374388954,1,0,0,0,1,0,0,0,0,0,43,43,0,10,0,3,0,3,0,43,"c(121.522533009538, 25.0660379859926)",臺北捷運民權西路站_O11_R13,491.286536768366,2163.49679710646,2110.18516660637,42,2,
臺北市中山區中山北路二段１１５巷３弄１０號四樓之２,12000000.0,226672.0,0.0,0.0,63000,中山區,房地(土地+建物),8.87,商,,,1130502,土地1建物1車位0,四層,4.0,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710825,52.94,4,0,4,有,有,,,RPVNMLKKNHJGFCA67DA,38.29,3.37,1.55,有,,25.0613690144668,121.523758024687,"10號, 中山北路二段115巷3弄, 聚葉里, 中山區, 雙連, 臺北市, 104, 臺灣",聚葉里,2024-05-02,18,21.6013876015115,20.6443374631676,22.9317222835119,9.58236733650738,41.948061421457695,63000040009,0.121426549674498,0.497594112652137,79.61,29859.86,48.6674391469033,35.6894553743957,0,0,0,0,0,0,0,0,0,0,74,81,0,12,1,3,0,5,0,74,"c(121.523758024687, 25.0613690144668)",臺北捷運中山國小站_O10,338.999560827209,1735.61309392786,1664.22170494199,42,2,
臺北市中山區中山北路二段５９巷２８號五樓,11460000.0,220639.0,0.0,0.0,63000,中山區,房地(土地+建物),4.43,商,,,1130412,土地2建物1車位0,五層,5.0,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780522,51.94,3,2,2,有,無,,其他增建；,RPWNMLMKMHJGFCA87DA,33.53,13.26,0.0,無,546.0,25.0557820149957,121.524109980801,"26號, 中山北路二段59巷, 中山里, 中山區, 南西商圈, 臺北市, 104, 臺灣",中山里,2024-04-12,20,25.5763164754289,22.3986774623512,28.7197325485491,0.0,91.5577709685976,63000040006,0.149033892936332,0.516312955337346,72.22,41066.2,43.7062194770312,32.6045425530451,0,0,0,0,0,0,1,0,0,3,83,81,0,7,2,1,0,3,0,83,"c(121.524109980801, 25.0557820149957)",臺北捷運雙連站_R12,419.596679703199,1247.37101535316,1150.8084841985,35,2,
臺北市中山區中山北路二段５９巷７號二樓之１,30000000.0,303521.0,0.0,0.0,63000,中山區,房地(土地+建物),15.39,商,,,1130413,土地1建物1車位0,二層,2.0,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041127,98.84,3,2,1,有,有,,夾層；其他增建；,RPSPMLNLMHJGFCA87DA,50.57,10.92,3.79,有,,25.0559760141447,121.523464993352,"7之1號, 中山北路二段59巷, 中山里, 中山區, 南西商圈, 臺北市, 104, 臺灣",中山里,2024-04-13,23,26.0441004136773,24.3210525157637,28.2973418293667,0.0,86.9227061721842,63000040006,0.149033892936332,0.516312955337346,72.22,41066.2,43.7062194770312,32.6045425530451,0,0,0,0,0,0,1,0,0,3,78,82,0,8,2,1,0,4,0,78,"c(121.523464993352, 25.0559760141447)",臺北捷運雙連站_R12,353.279836575898,1220.4911059471,1128.75403077521,9,2,
臺北市中山區中山北路二段６２巷９之１號,14500000.0,220532.0,0.0,0.0,63000,中山區,房地(土地+建物),9.83,住,,,1130402,土地1建物2車位0,一層，地下一層,1.0,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971031,65.75,1,1,1,有,有,,陽台外推；其他增建；,RPOOMLTLNHJGFCA08DA,28.25,1.25,2.97,有,771.0,25.0567450118515,121.522014002093,"La Belleza Hair Salon, 中山北路二段62巷, 民安里, 中山區, 南西商圈, 臺北市, 10448, 臺灣",民安里,2024-04-02,25,26.7337096009139,22.0121623313411,32.1593113820522,0.190438572172249,63.6728093518592,63000040004,0.152173913043478,0.541644840230487,87.31,19068.16,63.7637258372724,45.77811433329111,0,0,0,0,0,1,0,0,0,3,84,76,0,10,2,1,0,7,0,84,"c(121.522014002093, 25.0567450118515)",臺北捷運雙連站_R12,184.70731906816,1203.58432660681,1126.06679747425,16,2,
臺北市中山區中山北路二段７２巷９號六樓之７,12500000.0,298045.0,0.0,0.0,63000,中山區,房地(土地+建物),6.41,商,,,1130424,土地1建物1車位0,六層,6.0,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970429,41.94,1,1,1,有,有,,車位:機車位10號,RPOOMLPKNHJGFCA57DA,20.48,2.68,0.0,有,837.0,25.0571079901685,121.522185998746,"9號, 中山北路二段72巷, 民安里, 中山區, 南西商圈, 臺北市, 104, 臺灣",民安里,2024-04-24,26,21.4336729137099,19.4870476623108,25.2315750803295,40.6400384162891,51.4087276026615,63000040004,0.152173913043478,0.541644840230487,87.31,19068.16,63.7637258372724,45.77811433329111,0,0,0,0,0,1,0,0,0,0,79,74,0,9,1,1,0,7,0,79,"c(121.522185998746, 25.0571079901685)",臺北捷運雙連站_R12,178.778456007078,1246.90328984527,1169.78183571101,16,2,
臺北市中山區五常街６５號四樓,17000000.0,177973.0,0.0,0.0,63000,中山區,房地(土地+建物),38.0,住,,,1130411,土地1建物1車位0,四層,4.0,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650217,95.52,3,2,1,有,無,,頂樓加蓋；,RPUNMLKLNHJGFCA77EA,90.89,0.0,4.63,無,,25.0644409819806,121.540043978738,"四季香頂級手工饅頭, 五常街, 行仁里, 中山區, 下埤頭, 臺北市, 104477, 臺灣",行仁里,2024-04-11,34,24.5691589215585,20.9390079055193,28.8363070319481,0.0,67.2094150901943,63000040025,0.0956767196553261,0.417917099985143,87.33,38206.8,49.9100179864207,35.2729454038646,0,0,0,0,0,0,1,0,0,0,34,34,0,9,0,1,2,1,2,36,"c(121.540043978738, 25.0644409819806)",臺北捷運中山國中站_BR12,569.073822326698,3088.95378882937,2977.32100512971,48,2,
臺北市中山區伊通街１２９號七樓之１,7000000.0,116647.0,0.0,0.0,63000,中山區,房地(土地+建物)+車位,7.22,商,,,1130514,土地1建物1車位1,七層,7.0,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,911029,60.01,0,0,0,無,有,升降機械,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMLNHJGFCA87EA,25.13,0.38,2.41,有,,25.0544049940325,121.534992038056,"瑞麟美而美, 133, 伊通街, 中央里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",中央里,2024-05-14,36,20.7919885005472,18.5899074740394,22.6276145968823,1.46365966170266,48.0860080983573,63000040033,0.160586217648893,0.57156220767072,87.38,14924.35,56.7567567327885,35.0506756608739,1,0,0,0,0,0,0,0,0,0,58,50,0,8,1,2,0,1,0,58,"c(121.534992038056, 25.0544049940325)",臺北捷運松江南京站_G15_O08,309.722391452332,2089.88703772941,1964.22439209807,22,2,
臺北市中山區八德路二段８８巷２號三樓,21000000.0,240770.0,0.0,0.0,63000,中山區,房地(土地+建物),29.75,住,,,1130428,土地1建物1車位0,三層,3.0,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640722,87.22,3,2,1,有,無,,含裝潢費；,RPOOMLNKNHJGFCA37DA,77.26,0.0,9.96,無,,25.0454190070952,121.535794018552,"2號, 八德路二段88巷, 朱園里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",朱園里,2024-04-28,40,27.0802501844784,24.7964342545321,32.5943955961648,0.630874453778755,44.1358524319044,63000040036,0.184835333163135,0.606586673474598,81.74,16150.82,54.4229440033093,36.247408418712,0,0,0,0,1,2,2,0,0,0,21,39,0,4,0,2,0,0,0,21,"c(121.535794018552, 25.0454190070952)",臺北捷運忠孝新生站_BL14_O07,461.444426517677,2040.19094773431,1914.34019021058,49,2,
臺北市中山區北安路６０８巷４弄６之２號四樓,10000000.0,256871.0,0.0,0.0,63000,中山區,房地(土地+建物),9.27,住,,,1130426,土地1建物1車位0,四層,4.0,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850216,38.93,1,1,1,有,無,,,RPSNMLLLNHJGFCA67EA,24.61,2.0,4.38,有,,25.0813849992498,121.549308999232,"8號, 北安路608巷4弄, 成功里, 中山區, 下塔悠, 臺北市, 104, 臺灣",成功里,2024-04-26,42,23.9950070628212,22.0022049336112,27.678214372933,24.0398028514475,52.0505245286813,63000040015,0.198291530352599,0.642493638676845,84.03,10330.3,55.1204819149396,28.2437442010557,0,0,0,0,1,0,1,0,0,0,28,46,0,11,0,2,0,2,0,28,"c(121.549308999232, 25.0813849992498)",臺北捷運大直站_BR14,336.172355968282,4606.66866498746,4958.07825093849,28,2,
