土地位置建物門牌,緯度,經度,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age,time_index,nomi_address
臺北市中山區中原街２２號七樓之１５,25.0567399827096,121.528779958155,7000000.0,183390.0,0.0,0.0,63000,中山區,房地(土地+建物),中原里,6.16,住,,,1120319,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660625,38.17,1,2,1,有,有,,陽台外推；,RPSNMLQLMHIGFCA87DA,28.22,0.0,2.38,有,1287.0,2023-03-19,9,20.0349523681874,17.9972116044029,22.0622589700006,0.0,39.3332862612801,63000040031.0,0.157149383280037,0.532663316582915,86.14,28854.38,56.066411220923904,40.1660280842382,0,0,0,0,0,0,1,0,0,1,67,52,0,12,2,1,0,3,0,67,"c(121.528779958155, 25.0567399827096)",臺北捷運行天宮站_O09,593.142799574286,1668.05078240221,1557.54512138609,46,1,
臺北市中山區中原街２２號三樓之１０,25.0567399827096,121.528779958155,5020000.0,156924.0,0.0,0.0,63000,中山區,房地(土地+建物),中原里,5.39,住,,,1120315,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660625,31.99,1,1,1,有,有,,,RPPNMLTLMHIGFCA87DA,23.56,0.0,2.92,有,,2023-03-15,10,20.5612530639563,16.499684191282,25.6395081710575,0.0,53.077430412761,63000040031.0,0.157149383280037,0.532663316582915,86.14,28854.38,56.066411220923904,40.1660280842382,0,0,0,0,0,0,1,0,0,1,67,52,0,12,2,1,0,3,0,67,"c(121.528779958155, 25.0567399827096)",臺北捷運行天宮站_O09,593.142799574286,1668.05078240221,1557.54512138609,46,1,
臺北市中山區中原街２２號三樓之１１,25.0567399827096,121.528779958155,6800000.0,196987.0,0.0,0.0,63000,中山區,房地(土地+建物),中原里,5.69,住,,,1120216,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660625,34.52,0,0,0,無,有,,,RPQOMLKLKHIGFCA96DA,25.28,0.0,3.32,有,,2023-02-16,11,15.7183814486698,13.5025868559623,17.9489216109194,0.0,37.2839236741796,63000040031.0,0.157149383280037,0.532663316582915,86.14,28854.38,56.066411220923904,40.1660280842382,0,0,0,0,0,0,1,0,0,1,67,52,0,12,2,1,0,3,0,67,"c(121.528779958155, 25.0567399827096)",臺北捷運行天宮站_O09,593.142799574286,1668.05078240221,1557.54512138609,46,1,
臺北市中山區中原街２２號五樓之１３,25.0567399827096,121.528779958155,4280000.0,189885.0,0.0,0.0,63000,中山區,房地(土地+建物),中原里,3.69,住,,,1120320,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660625,22.54,1,1,1,有,有,,,RPPOMLKMLHIGFCA07DA,16.3,0.0,2.38,有,,2023-03-20,12,21.1735277039877,18.9420950270198,25.5667002375727,0.0,63.6800995589786,63000040031.0,0.157149383280037,0.532663316582915,86.14,28854.38,56.066411220923904,40.1660280842382,0,0,0,0,0,0,1,0,0,1,67,52,0,12,2,1,0,3,0,67,"c(121.528779958155, 25.0567399827096)",臺北捷運行天宮站_O09,593.142799574286,1668.05078240221,1557.54512138609,46,1,
臺北市中山區中原街２２號四樓之６,25.0567399827096,121.528779958155,5343000.0,196723.0,0.0,0.0,63000,中山區,房地(土地+建物),中原里,4.31,住,,,1120212,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660625,27.16,1,1,1,有,有,,陽台外推；,RPXNMLNKLHIGFCA87DA,19.1,0.0,3.52,有,,2023-02-12,13,20.8107910993892,17.3460189462391,26.635154174037,0.0,66.955413083472,63000040031.0,0.157149383280037,0.532663316582915,86.14,28854.38,56.066411220923904,40.1660280842382,0,0,0,0,0,0,1,0,0,1,67,52,0,12,2,1,0,3,0,67,"c(121.528779958155, 25.0567399827096)",臺北捷運行天宮站_O09,593.142799574286,1668.05078240221,1557.54512138609,46,1,
臺北市中山區中原街４６之１號四樓,25.0576300150983,121.528809965369,15580000.0,290979.0,10.85,2000000.0,63000,中山區,房地(土地+建物)+車位,中原里,9.74,商,,,1120225,土地2建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070925,57.52,3,1,1,有,有,塔式車位,塔式車位位於地下二層。夾層；其他增建；,RPVOMLSLLHIGFCA38DA,28.22,3.43,0.0,有,1743.0,2023-02-25,14,14.1183629096326,13.3590652641212,14.8590652641212,0.0,59.653357410893,63000040031.0,0.157149383280037,0.532663316582915,86.14,28854.38,56.066411220923904,40.1660280842382,0,0,0,0,0,0,1,0,0,0,70,61,0,12,1,1,0,3,0,70,"c(121.528809965369, 25.0576300150983)",臺北捷運行天宮站_O09,527.268319294108,1732.46037657416,1625.10320467929,5,1,
臺北市中山區中原街４６號三樓,25.0576599804022,121.52867996205,15280000.0,258457.0,10.85,0.0,63000,中山區,房地(土地+建物)+車位,中原里,10.09,商,,,1120227,土地2建物1車位1,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070925,59.12,3,1,1,有,有,塔式車位,塔式車位無固定樓層。夾層；其他增建；,RPSOMLOKLHIGFCA57DA,25.83,6.91,0.0,有,1660.0,2023-02-27,15,17.1857610433251,14.1832024216244,19.8142498744437,0.0,34.3958355798959,63000040031.0,0.157149383280037,0.532663316582915,86.14,28854.38,56.066411220923904,40.1660280842382,0,0,0,0,0,0,1,0,0,0,70,63,0,12,1,1,0,3,0,70,"c(121.52867996205, 25.0576599804022)",臺北捷運行天宮站_O09,535.981551547037,1724.63046443453,1617.76457676272,5,1,
臺北市中山區中山北路一段１０５巷１２號八樓,25.0505799963374,121.523649981955,25000000.0,244547.0,17.02,0.0,63000,中山區,房地(土地+建物)+車位,正得里,11.5,商,,,1120403,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060110,102.23,1,2,1,有,有,升降機械,,RPSOMLOKMHIGFCA67DA,46.12,2.24,7.55,有,,2023-04-03,18,22.8141361511875,19.3337869692452,27.0015625402811,0.0,45.941121615623,63000040003.0,0.151625645700395,0.554542692190823,77.41,24546.39,49.9791057041458,36.147095680674,0,0,0,0,0,2,0,0,0,3,57,55,0,6,2,2,0,1,0,57,"c(121.523649981955, 25.0505799963374)",臺北捷運中山站_G14_R11,504.00524009603294,870.077310298258,745.863966603396,6,1,
臺北市中山區中山北路一段１２１巷３３號十一樓之３,25.0509200082398,121.524720015714,25000000.0,255728.0,0.0,0.0,63000,中山區,房地(土地+建物),正得里,10.38,商,,,1120325,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,97.76,2,2,1,有,有,,,RPOOMLSKMHIGFCA67DA,54.01,5.86,6.52,有,1288.0,2023-03-25,19,19.6904406120047,17.2525213785696,22.8580034464576,14.502346795817,40.194194579966,63000040003.0,0.151625645700395,0.554542692190823,77.41,24546.39,49.9791057041458,36.147095680674,1,0,0,0,0,0,0,0,0,3,63,61,0,5,2,1,0,1,0,63,"c(121.524720015714, 25.0509200082398)",臺北捷運中山站_G14_R11,582.295556428447,984.217583432225,859.599748408877,12,1,
臺北市中山區中山北路一段１２１巷３３號十三樓之１,25.0509200082398,121.524720015714,17250000.0,249494.0,0.0,0.0,63000,中山區,房地(土地+建物),正得里,7.3,商,,,1120418,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000128,69.14,1,1,1,有,有,,,RPRNMLRKNHIGFCA97EA,40.56,1.36,4.97,有,550.0,2023-04-18,20,26.2231348944448,22.7242086698786,31.0769893377482,0.0,65.018927334443,63000040003.0,0.151625645700395,0.554542692190823,77.41,24546.39,49.9791057041458,36.147095680674,1,0,0,0,0,0,0,0,0,3,63,61,0,5,2,1,0,1,0,63,"c(121.524720015714, 25.0509200082398)",臺北捷運中山站_G14_R11,582.295556428447,984.217583432225,859.599748408877,12,1,
