土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中山北路一段５３巷３號,10600000,56757,34.73,0,63000,中山區,房地(土地+建物)+車位,25.04931399,121.522051,正得里,24.3,商,NA,NA,1130104,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,880721,186.76,4,2,2,有,有,升降平面,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMLJHJGFCA37DA,87.33,3.84,8.43,有,NA,2024/1/4,2,16.35144413,13.62036592,17.87227062,0,65.78890381,0,0,0,0,0,2,1,0,0,3,50,52,0,6,2,4,0,1,0,50,"c(302675.240550426, 2771341.29593821)",臺北捷運中山站_G14_R11,487.0035458,670.1630363,542.7367667,25
臺北市中山區中山北路一段５３巷８號,8480000,264587,0,0,63000,中山區,房地(土地+建物),25.04910101,121.522127,正得里,4.78,商,NA,NA,1130122,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,970104,32.05,1,1,1,有,有,NA,NA,RPRNMLMJKHJGFCA17EA,17.55,3.55,0,有,229,2024/1/22,3,13.47155669,9.922606537,15.10057522,0.382611384,31.34812905,0,0,0,0,0,2,1,0,0,3,50,52,0,6,2,5,0,1,0,50,"c(302683.00256453, 2771317.73423458)",臺北捷運中山站_G14_R11,511.0038968,670.961316,542.6151419,16
臺北市中山區中山北路二段１１５巷３弄１９號,10200000,198444,0,0,63000,中山區,房地(土地+建物),25.06127602,121.524077,聚葉里,20.75,商,NA,NA,1130125,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,630209,51.4,2,1,1,有,無,NA,NA,RPSNMLTKKHJGFCA08EA,51.4,0,0,無,NA,2024/1/25,8,11.79810788,10.81788436,12.488054,2.634305876,54.58706565,0,0,0,0,0,0,0,0,0,0,75,81,0,12,1,3,0,5,0,75,"c(302874.543577904, 2772667.06718227)",臺北捷運中山國小站_O10,316.2145285,1741.892524,1668.387298,50
臺北市中山區中山北路二段１１５巷３弄２１號,10000000,123320,0,0,63000,中山區,房地(土地+建物),25.06127602,121.524144,聚葉里,24.25,商,NA,NA,1130112,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640820,81.09,2,1,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOLJHJGFCA47EA,71.23,0,9.86,無,NA,2024/1/12,9,16.76861521,12.80374386,21.1633693,0,51.26714163,0,0,0,0,0,0,0,0,0,0,75,80,0,11,1,3,0,5,0,75,"c(302881.300497274, 2772667.09336435)",臺北捷運中山國小站_O10,310.5101613,1745.17857,1671.297115,49
臺北市中山區中山北路二段１６８之３號,21180000,294603,18.6,1200000,63000,中山區,房地(土地+建物)+車位,25.06339098,121.522246,集英里,7.53,商,NA,NA,1130106,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,951129,86.42,1,1,1,有,有,其他,陽台外推；,RPRPMLLJKHJGFCA17DA,45.15,0,5.63,有,242,2024/1/6,10,18.40755189,15.95755178,22.55338118,0,88.53649405,1,0,0,0,1,0,0,0,0,0,53,60,0,11,0,4,0,6,0,53,"c(302688.90199317, 2772900.61810406)",臺北捷運民權西路站_O11_R13,293.7935591,1877.489543,1820.495853,18
臺北市中山區五常街１１巷３號,18500000,286555,0,0,63000,中山區,房地(土地+建物),25.06452698,121.538121,行孝里,9.93,住,NA,NA,1130128,土地2建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080918,64.56,1,1,1,有,有,NA,NA,RPUNMLMLKHJGFCA57DA,38.3,1.67,3.17,有,503,2024/1/28,16,13.60722073,12.79541462,14.39768707,1.113796634,94.03033362,0,1,0,0,0,1,1,0,0,0,42,36,0,9,1,1,1,1,3,43,"c(304290.043819206, 2773032.72665497)",臺北捷運行天宮站_O09,684.7301894,2943.164207,2834.553276,5
臺北市中山區伊通街１０６巷１６號,22000000,339978,0,0,63000,中山區,房地(土地+建物),25.05390602,121.533818,中央里,18.04,住,NA,NA,1130116,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701109,64.71,1,1,1,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQLJHJGFCA47EA,53.86,5.12,0,無,NA,2024/1/16,17,17.12302123,15.73233109,18.60971375,0,52.70004426,1,0,0,0,0,0,1,0,0,0,57,57,0,10,1,2,0,0,0,57,"c(303860.554708701, 2771854.56699241)",臺北捷運松江南京站_G15_O08,193.8792018,1959.444948,1833.658918,43
臺北市中山區北安路５５４巷１９號,38000000,261186,0,0,63000,中山區,房地(土地+建物)+車位,25.080264,121.548998,永安里,25.32,住,NA,NA,1130108,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821221,145.48,3,2,2,有,有,坡道平面,其它增建:陽台加窗其他增建；,RPQPMLRKJHJGFCA67DA,114.23,0,10.4,有,NA,2024/1/8,20,18.74602655,16.94437557,21.28202911,0,52.82932559,0,0,0,0,1,0,1,0,0,0,27,44,0,11,0,2,0,2,0,27,"c(305380.350696448, 2774780.26697927)",臺北捷運大直站_BR14,247.9370479,4531.662295,4844.272572,31
臺北市中山區北安路８２９號,19793333.33,239481.3333,14,833333.3333,63000,中山區,房地(土地+建物)+車位,25.08601309,121.5523454,北安里,6.18,住,NA,NA,1130106,土地2建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991224,85.48,0,0,0,無,有,坡道平面,NA,RPRNMLMLJHJGFCA27EA,38.34,0.9,3.62,有,124,2024/1/6,21,18.4070573,15.68313389,22.62696077,0,85.56753358,0,0,0,0,0,0,1,0,0,0,9,19,0,2,0,1,0,2,0,9,"c(305715.423131305, 2775418.44774349)",臺北捷運劍南路站_BR15,308.6502795,4841.84618,5546.692416,14
臺北市中山區南京東路二段１０８號,23550000,318223.5,0,0,63000,中山區,房地(土地+建物),25.051839,121.532169,興亞里,6.63,商,NA,NA,1130106,土地3建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,990917,102.33,2,2,1,有,有,NA,NA,RPWQMLMJKHJGFCA87DA,57.24,2.42,7.82,有,367,2024/1/6,22,18.34664958,15.85409007,22.81810354,0,88.34126959,0,0,0,0,0,0,1,0,0,0,61,79,0,9,1,2,0,0,0,61,"c(303695.076072907, 2771624.95675405)",臺北捷運松江南京站_G15_O08,93.07514978,1728.485997,1600.285566,14
