土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中山北路三段３９號七樓之１,5200000,207751,0,0,63000,中山區,房地(土地+建物),25.06603799,121.522533,晴光里,2.43,商,NA,NA,1130409,土地3建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,711127,25.03,1,1,1,有,有,NA,陽台外推；,RPORMLMJNHJGFCA47DA,17.28,0,3.31,有,NA,2024/4/9,15,19.13958835,18.54579909,19.72141955,0.878102309,46.17326282,63000040011,0.144424496,0.533213645,71.9,49665.59,49.02606309,35.22633744,1,0,0,0,1,0,0,0,0,0,43,43,0,10,0,3,0,3,0,43,"c(121.522533009538, 25.0660379859926)",臺北捷運民權西路站_O11_R13,491.2865368,2163.496797,2110.185167,42
臺北市中山區中山北路二段１１５巷３弄１０號四樓之２,12000000,226672,0,0,63000,中山區,房地(土地+建物),25.06136901,121.523758,聚葉里,8.87,商,NA,NA,1130502,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,710825,52.94,4,0,4,有,有,NA,NA,RPVNMLKKNHJGFCA67DA,38.29,3.37,1.55,有,NA,2024/5/2,18,21.6013876,20.64433746,22.93172228,9.582367337,41.94806142,63000040009,0.12142655,0.497594113,79.61,29859.86,48.66743915,35.68945537,0,0,0,0,0,0,0,0,0,0,74,81,0,12,1,3,0,5,0,74,"c(121.523758024687, 25.0613690144668)",臺北捷運中山國小站_O10,338.9995608,1735.613094,1664.221705,42
臺北市中山區中山北路二段５９巷２８號五樓,11460000,220639,0,0,63000,中山區,房地(土地+建物),25.05578201,121.52411,中山里,4.43,商,NA,NA,1130412,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780522,51.94,3,2,2,有,無,NA,其他增建；,RPWNMLMKMHJGFCA87DA,33.53,13.26,0,無,546,2024/4/12,20,25.57631648,22.39867746,28.71973255,0,91.55777097,63000040006,0.149033893,0.516312955,72.22,41066.2,43.70621948,32.60454255,0,0,0,0,0,0,1,0,0,3,83,81,0,7,2,1,0,3,0,83,"c(121.524109980801, 25.0557820149957)",臺北捷運雙連站_R12,419.5966797,1247.371015,1150.808484,35
臺北市中山區中山北路二段５９巷７號二樓之１,30000000,303521,0,0,63000,中山區,房地(土地+建物),25.05597601,121.523465,中山里,15.39,商,NA,NA,1130413,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041127,98.84,3,2,1,有,有,NA,夾層；其他增建；,RPSPMLNLMHJGFCA87DA,50.57,10.92,3.79,有,NA,2024/4/13,23,26.04410041,24.32105252,28.29734183,0,86.92270617,63000040006,0.149033893,0.516312955,72.22,41066.2,43.70621948,32.60454255,0,0,0,0,0,0,1,0,0,3,78,82,0,8,2,1,0,4,0,78,"c(121.523464993352, 25.0559760141447)",臺北捷運雙連站_R12,353.2798366,1220.491106,1128.754031,9
臺北市中山區中山北路二段６２巷９之１號,14500000,220532,0,0,63000,中山區,房地(土地+建物),25.05674501,121.522014,民安里,9.83,住,NA,NA,1130402,土地1建物2車位0,一層，地下一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,971031,65.75,1,1,1,有,有,NA,陽台外推；其他增建；,RPOOMLTLNHJGFCA08DA,28.25,1.25,2.97,有,771,2024/4/2,25,26.7337096,22.01216233,32.15931138,0.190438572,63.67280935,63000040004,0.152173913,0.54164484,87.31,19068.16,63.76372584,45.77811433,0,0,0,0,0,1,0,0,0,3,84,76,0,10,2,1,0,7,0,84,"c(121.522014002093, 25.0567450118515)",臺北捷運雙連站_R12,184.7073191,1203.584327,1126.066797,16
臺北市中山區中山北路二段７２巷９號六樓之７,12500000,298045,0,0,63000,中山區,房地(土地+建物),25.05710799,121.522186,民安里,6.41,商,NA,NA,1130424,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970429,41.94,1,1,1,有,有,NA,車位:機車位10號,RPOOMLPKNHJGFCA57DA,20.48,2.68,0,有,837,2024/4/24,26,21.43367291,19.48704766,25.23157508,40.64003842,51.4087276,63000040004,0.152173913,0.54164484,87.31,19068.16,63.76372584,45.77811433,0,0,0,0,0,1,0,0,0,0,79,74,0,9,1,1,0,7,0,79,"c(121.522185998746, 25.0571079901685)",臺北捷運雙連站_R12,178.778456,1246.90329,1169.781836,16
臺北市中山區五常街６５號四樓,17000000,177973,0,0,63000,中山區,房地(土地+建物),25.06444098,121.540044,行仁里,38,住,NA,NA,1130411,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,650217,95.52,3,2,1,有,無,NA,頂樓加蓋；,RPUNMLKLNHJGFCA77EA,90.89,0,4.63,無,NA,2024/4/11,34,24.56915892,20.93900791,28.83630703,0,67.20941509,63000040025,0.09567672,0.4179171,87.33,38206.8,49.91001799,35.2729454,0,0,0,0,0,0,1,0,0,0,34,34,0,9,0,1,2,1,2,36,"c(121.540043978738, 25.0644409819806)",臺北捷運中山國中站_BR12,569.0738223,3088.953789,2977.321005,48
臺北市中山區伊通街１２９號七樓之１,7000000,116647,0,0,63000,中山區,房地(土地+建物)+車位,25.05440499,121.534992,中央里,7.22,商,NA,NA,1130514,土地1建物1車位1,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,911029,60.01,0,0,0,無,有,升降機械,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMLNHJGFCA87EA,25.13,0.38,2.41,有,NA,2024/5/14,36,20.7919885,18.58990747,22.6276146,1.463659662,48.0860081,63000040033,0.160586218,0.571562208,87.38,14924.35,56.75675673,35.05067566,1,0,0,0,0,0,0,0,0,0,58,50,0,8,1,2,0,1,0,58,"c(121.534992038056, 25.0544049940325)",臺北捷運松江南京站_G15_O08,309.7223915,2089.887038,1964.224392,22
臺北市中山區八德路二段８８巷２號三樓,21000000,240770,0,0,63000,中山區,房地(土地+建物),25.04541901,121.535794,朱園里,29.75,住,NA,NA,1130428,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640722,87.22,3,2,1,有,無,NA,含裝潢費；,RPOOMLNKNHJGFCA37DA,77.26,0,9.96,無,NA,2024/4/28,40,27.08025018,24.79643425,32.5943956,0.630874454,44.13585243,63000040036,0.184835333,0.606586674,81.74,16150.82,54.422944,36.24740842,0,0,0,0,1,2,2,0,0,0,21,39,0,4,0,2,0,0,0,21,"c(121.535794018552, 25.0454190070952)",臺北捷運忠孝新生站_BL14_O07,461.4444265,2040.190948,1914.34019,49
臺北市中山區北安路６０８巷４弄６之２號四樓,10000000,256871,0,0,63000,中山區,房地(土地+建物),25.081385,121.549309,成功里,9.27,住,NA,NA,1130426,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,850216,38.93,1,1,1,有,無,NA,NA,RPSNMLLLNHJGFCA67EA,24.61,2,4.38,有,NA,2024/4/26,42,23.99500706,22.00220493,27.67821437,24.03980285,52.05052453,63000040015,0.19829153,0.642493639,84.03,10330.3,55.12048191,28.2437442,0,0,0,0,1,0,1,0,0,0,28,46,0,11,0,2,0,2,0,28,"c(121.549308999232, 25.0813849992498)",臺北捷運大直站_BR14,336.172356,4606.668665,4958.078251,28
