土地位置建物門牌,總價元,單價元平方公尺,車位移轉總面積平方公尺,車位總價元,countycode,鄉鎮市區,交易標的,緯度,經度,村里,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,車位類別,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,nomi_address,date,.id,t_mean_24h_idw,t_min_idw,t_max_idw,daily_rain_idw,aqi_idw,towncode,MASTER_UP_rate,BACHELOR_UP_rate,Sex_ratio,popdense,Dependency_ratio,Old_ratio,count_anc_500m,count_clean_500m,count_cor_500m,count_cos_500m,count_uni_500m,count_fire_500m,count_gas_500m,count_inc_500m,count_lpg_500m,count_mall_500m,count_mart_500m,count_med_500m,count_nuc_500m,count_phar_500m,count_poli_500m,count_post_500m,count_simpmart_500m,count_temp_500m,count_died_500m,count_shop_500m,geometry,nearest_mrt_name,dist_to_mrt_meter,dist_to_rail_meter,dist_to_thsr_meter,house_age
臺北市中山區中原街２２號六樓之１１,8400000,243337,0,0,63000,中山區,房地(土地+建物),25.05670599,121.528735,中原里,5.69,住,NA,NA,1131020,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660625,34.52,1,1,1,有,有,NA,NA,RPUNMLSJJIJGFCA97DA,25.28,0,3.32,有,NA,"12號, 新生北路二段77巷, 中原里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/10/20,6,24.41832397,23.74810748,25.01082181,0.950479171,34.35374066,63000040031,0.158970825,0.53779003,83.52,28600.55,58.95669289,42.81496062,0,0,0,0,0,0,1,0,0,1,68,52,0,12,2,1,0,3,0,68,"c(121.528735031154, 25.0567059940923)",臺北捷運行天宮站_O09,599.020494,1662.161751,1551.65278,47
臺北市中山區中山北路一段５３巷２０號三樓之２,7300000,157940,0,0,63000,中山區,房地(土地+建物),25.04892629,121.5228801,正得里,6.65,商,NA,NA,1131001,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,660301,46.22,1,1,1,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPROMLLKIIJGFCA07DA,33.06,0,4.03,有,NA,"20號, 中山北路一段53巷, 正得里, 中山區, 南西商圈, 臺北市, 104, 臺灣",2024/10/1,10,29.61519973,27.17828773,32.26152587,0,27.64922044,63000040003,0.156573117,0.569276219,75.99,25469.7,52.49795248,38.6158886,0,0,0,0,0,2,1,0,0,2,57,52,0,6,2,4,0,2,0,57,"c(121.522880104148, 25.0489262887505)",臺北捷運善導寺站_BL13,478.4553245,740.2828332,610.9972614,47
臺北市中山區中山北路二段１１８號二樓,22380000,285796,17.62,2400000,63000,中山區,房地(土地+建物)+車位,25.06101299,121.522733,集英里,7.21,商,NA,NA,1131015,土地2建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080227,87.53,2,2,1,有,有,塔式車位,塔式車位位於地下三層。,RPUNMLNLIIJGFCA57DA,38.03,2.96,3.14,有,492,"1號, 中山北路二段116巷, 集英里, 中山區, 雙連, 臺北市, 104, 臺灣",2024/10/15,21,27.92620154,26.12855708,31.63899378,0,25.89828752,63000040008,0.130807249,0.521087315,79.87,20154.39,55.76199955,34.26233134,0,0,0,0,0,0,0,0,0,0,75,83,0,10,0,2,0,7,0,75,"c(121.522733001747, 25.0610129931294)",臺北捷運民權西路站_O11_R13,372.6861585,1653.968727,1587.712356,5
臺北市中山區北安路６３０巷２５弄１６號六樓,11000000,87873,0,0,63000,中山區,房地(土地+建物),25.083549,121.549928,成功里,19.79,住,NA,NA,1131015,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,861008,125.18,3,2,2,有,有,NA,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOJJIJGFCA17EA,86.2,2.93,10,有,NA,"28號, 北安路639巷9弄, 成功里, 中山區, 下塔悠, 臺北市, 104, 臺灣",2024/10/15,29,27.88995584,26.01057059,31.8462177,0,28.25641357,63000040015,0.19829153,0.642493639,84.29,10228.46,55.31865041,28.91283973,0,0,0,0,1,0,1,0,0,0,23,43,0,10,0,1,0,4,0,23,"c(121.549928002781, 25.0835489971021)",臺北捷運劍南路站_BR15,539.8137034,4756.741375,5180.86551,27
臺北市中山區南京東路二段１０８號九樓之１７,17220000,353303,0,0,63000,中山區,房地(土地+建物),25.051839,121.532169,興亞里,3.19,商,NA,NA,1131013,土地3建物1車位0,九層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,990917,48.74,1,1,1,有,有,NA,NA,RPWNMLTLIIJGFCA38DA,27.68,1.36,3.47,有,628,"108號, 南京東路二段, 興亞里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",2024/10/13,30,27.91872007,25.14961752,31.3087955,0,32.40587332,63000040032,0.176772867,0.593216855,81.24,22112.88,57.92964243,40.28258361,0,0,0,0,0,0,1,0,0,0,61,79,0,9,1,2,0,0,0,61,"c(121.532169013066, 25.0518390001039)",臺北捷運松江南京站_G15_O08,93.07514975,1728.485997,1600.285566,14
臺北市中山區南京東路二段１０８號六樓之２５,22800000,343788,0,0,63000,中山區,房地(土地+建物),25.051839,121.532169,興亞里,4.35,商,NA,NA,1131107,土地3建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,990917,66.32,1,1,1,有,有,NA,NA,RPPNMLKLJIJGFCA86DA,38.96,1.08,4.21,有,120,"108號, 南京東路二段, 興亞里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",2024/11/7,31,20.41756966,19.27855182,21.36175766,0.253727123,35.15840468,63000040032,0.176772867,0.593216855,81.24,22112.88,57.92964243,40.28258361,0,0,0,0,0,0,1,0,0,0,61,79,0,9,1,2,0,0,0,61,"c(121.532169013066, 25.0518390001039)",臺北捷運松江南京站_G15_O08,93.07514975,1728.485997,1600.285566,14
臺北市中山區合江街１４４巷４號二樓,16300000,215381,0,0,63000,中山區,房地(土地+建物),25.05981899,121.53887,江山里,29.75,住,NA,NA,1131009,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,561002,75.68,3,2,1,有,無,NA,陽臺外推；,RPRNMLTLJIJGFCA08EA,75.68,0,0,無,690,"4號, 合江街144巷, 江山里, 中山區, 下埤頭, 臺北市, 104, 臺灣",2024/10/9,34,23.83196142,23.21811794,24.53993057,0.577179003,42.99398699,63000040029,0.161160852,0.561593084,88.13,35893.3,57.66120217,41.59562841,0,0,0,0,0,0,0,0,0,0,39,49,0,13,0,1,0,1,3,39,"c(121.538870009379, 25.0598189910221)",臺北捷運中山國中站_BR12,527.2094142,2705.06167,2586.010852,57
臺北市中山區合江街２９號四樓之２,12280000,305321,0,0,63000,中山區,房地(土地+建物),25.05537901,121.539171,朱馥里,6.55,住,NA,NA,1131012,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970822,40.22,1,1,1,有,有,NA,夾層；其他增建；,RPQOMLRKIIJGFCA57DA,22.03,2.72,0,有,NA,"29號, 合江街, 朱馥里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",2024/10/12,35,25.61876976,23.5713894,27.77074466,0,35.21660525,63000040034,0.13364524,0.513425549,84.35,30743.57,53.99281568,35.83862945,1,1,0,0,0,0,0,0,0,0,46,52,0,13,1,2,0,0,0,46,"c(121.539171003522, 25.055379013091)",臺北捷運南京復興站_BR11_G16,618.974398,2522.40741,2396.022004,16
臺北市中山區吉林路３４３巷３６號四樓,26500000,201674,0,0,63000,中山區,房地(土地+建物),25.06421702,121.531999,新福里,47,住,NA,NA,1131012,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,620112,131.4,3,1,1,有,無,NA,NA,RPTNMLSKIIJGFCA87DA,115.2,0,16.2,無,NA,"36號, 吉林路343巷, 新福里, 中山區, 下埤頭, 臺北市, 104, 臺灣",2024/10/12,36,25.66308489,23.72651305,27.67658126,0,34.41323143,63000040020,0.118088737,0.485779295,82.57,34614.13,50.37453182,37.17228463,1,1,0,0,0,0,0,0,0,0,59,55,0,11,0,1,2,3,3,61,"c(121.53199902807, 25.0642170175278)",臺北捷運行天宮站_O09,430.2892857,2474.22672,2377.9251,51
臺北市中山區四平街８９號三樓,3349109,85284,0,0,63000,中山區,房地(土地+建物),25.05371592,121.5350659,中央里,7.13,住,NA,NA,1131108,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,760418,39.26,4,2,2,有,無,NA,親友、員工、共有人或其他特殊關係間之交易；,RPQRMLSKJIJGFCA08DA,29.86,0.4,2.28,有,NA,"89號, 四平街, 中央里, 中山區, 朱厝崙, 臺北市, 104, 臺灣",2024/11/8,37,21.71318126,20.13000816,23.01799227,0.070823358,35.72882698,63000040033,0.160586218,0.571562208,86.94,14964.56,57.31191883,35.54522399,1,0,0,0,0,0,0,0,0,0,60,51,0,8,1,2,0,0,0,60,"c(121.535065882623, 25.0537159177725)",臺北捷運松江南京站_G15_O08,266.0616093,2070.30019,1943.521084,37
