Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,21866372.971322503,1142502.7412467967,0.35635779629438735,31.43439528077463
xgboost,0.25,18037777.875374604,1838810.1487984862,0.513195848422309,20.55238933801601
xgboost,0.5,13536385.649320401,2071051.0274314932,0.6447311082595651,17.43215424887656
xgboost,0.75,12534897.660366964,1869459.5201659238,0.6852152257782639,20.599945623075403
xgboost,0.9,11104435.025989505,1216671.6510378988,0.7316266832787021,27.86882363344504
xgboost,mean,13906302.810221326,,,19.69497523225858
xgboost,Total,,8138495.088680599,,
rf,0.1,17217594.967543572,1134829.6290227713,0.36068053328472727,35.2238069251403
rf,0.25,14377176.57648433,1778557.9948805552,0.5291469234628249,22.58590811922697
rf,0.5,7793475.410800691,2002574.827419684,0.6564775420106266,18.622448166323192
rf,0.75,8223215.334762879,1673323.0575078183,0.7182412268488845,22.64130783388018
rf,0.9,10289987.256907158,1042396.6982690571,0.7700682357354582,30.57223001867242
rf,mean,9852633.204630703,,,19.08590495495629
rf,Total,,7631682.207099887,,
lgb,0.1,21891127.01697022,1176117.7985174654,0.3374203629226543,30.615148588431957
lgb,0.25,19270836.535025973,1828535.6811879342,0.5159158973035572,20.240752170286587
lgb,0.5,13509640.898698857,2082133.4639284858,0.6428300228300317,17.480737677522896
lgb,0.75,13492082.766185181,1941015.385944893,0.6731664508192455,19.880778338906318
lgb,0.9,14409041.506112352,1463811.1145409201,0.6771126839951254,28.11310643991488
lgb,mean,13136776.052180406,,,19.3675526179579
lgb,Total,,8491613.4441197,,
nn,0.1,22304821.57751973,1142930.2291151243,0.3561169660331597,42.892517323678724
nn,0.25,15413324.176977178,1919978.3627219743,0.4917074834924555,25.813979323442542
nn,0.5,7465764.068942937,2192130.601630782,0.6239610714191243,21.253864233931836
nn,0.75,11822329.033091577,2035029.814427492,0.657336040840187,33.201762955503355
nn,0.9,14341623.802068952,1104011.162158897,0.7564773231683618,40.08689187438744
nn,mean,7866037.003531104,,,21.820397824101875
nn,Total,,8394080.17005427,,
dnn,0.1,23735636.83676558,1160945.8254033804,0.34596767038824094,39.23008719179727
dnn,0.25,17185473.94646063,1950597.0332735756,0.4836015374000606,26.287668448283164
dnn,0.5,12292420.918203231,2424234.622182383,0.5841458582458727,21.304455357460697
dnn,0.75,10657575.748083713,1789874.2961890574,0.6986160063197546,28.01286213549733
dnn,0.9,15246634.889742848,1101901.0788848752,0.7569427651356537,40.23228995966352
dnn,mean,8189497.850786296,,,20.46959063258959
dnn,Total,,8427552.855933271,,
cnn,0.1,25984591.171314225,1310637.9733927045,0.26163685827646266,63.46173534287898
cnn,0.25,20801086.133671608,2254708.2369959955,0.4030915420587271,36.0539916685646
cnn,0.5,12000090.045250863,2532426.913552489,0.5655865108706486,23.07558385297075
cnn,0.75,10697077.235107314,1881827.681865214,0.6831326404395327,27.78134536981159
cnn,0.9,13981320.524005556,1104207.0071766905,0.7564341236930197,34.982160632915466
cnn,mean,11808371.827076795,,,25.646648926885195
cnn,Total,,9083807.812983092,,
Average_Ensemble,0.1,21921900.003564816,1106646.3408286306,0.3765579163894287,38.336383545577796
Average_Ensemble,0.25,17273978.43011534,1805126.0242860164,0.5221133387165868,23.495765370748604
Average_Ensemble,0.5,10068646.296076665,2080312.9514692195,0.6431423142391938,18.60653120656287
Average_Ensemble,0.75,8293795.692633513,1615850.4941321132,0.7279186163248332,24.774728750945442
Average_Ensemble,0.9,11077814.873784075,993310.950563542,0.7808955652817958,33.63053911005945
Average_Ensemble,mean,8623238.831798423,,,19.650698400530956
Average_Ensemble,Total,,7601246.761279521,,
