Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
DNN_Fold_1,0.1,9.405550003051758,0.9555076956748962,0.39698994159698486,40.192440152168274,
DNN_Fold_1,0.25,7.705062389373779,1.549747109413147,0.5079341530799866,27.151405811309814,
DNN_Fold_1,0.5,8.668670654296875,1.8693678379058838,0.5715371072292328,20.453694462776184,
DNN_Fold_1,0.75,11.69467544555664,1.4556224346160889,0.6437253654003143,21.62167578935623,
DNN_Fold_1,0.9,18.293058395385742,0.8254397511482239,0.6919912993907928,27.599328756332397,
DNN_Fold_1,mean,6.684736728668213,,,21.41098976135254,
DNN_Fold_1,Total,,6.65568482875824,,,
DNN_Fold_2,0.1,10.032007217407227,0.9801682233810425,0.378698468208313,43.67606341838837,
DNN_Fold_2,0.25,6.544821739196777,1.5792771577835083,0.5037483274936676,26.267009973526,
DNN_Fold_2,0.5,5.064941883087158,1.7598228454589844,0.6137922704219818,21.9490185379982,
DNN_Fold_2,0.75,6.144464015960693,1.2924597263336182,0.6919298768043518,23.814629018306732,
DNN_Fold_2,0.9,6.82548189163208,0.8347648978233337,0.6774103939533234,30.0958514213562,
DNN_Fold_2,mean,5.624789714813232,,,23.053820431232452,
DNN_Fold_2,Total,,6.446492850780487,,,
DNN_Fold_3,0.1,9.217950820922852,1.1768789291381836,0.2505285143852234,35.931214690208435,
DNN_Fold_3,0.25,8.53659439086914,1.8857593536376953,0.39952367544174194,24.907739460468292,
DNN_Fold_3,0.5,11.001971244812012,2.1132547855377197,0.5284444391727448,21.677212417125702,
DNN_Fold_3,0.75,16.223899841308594,1.5384557247161865,0.63814577460289,24.306412041187286,
DNN_Fold_3,0.9,13.225395202636719,0.911304771900177,0.6638297140598297,29.38762605190277,
DNN_Fold_3,mean,9.654792785644531,,,21.632155776023865,
DNN_Fold_3,Total,,7.625653564929962,,,
DNN_Fold_4,0.1,9.505194664001465,0.9328897595405579,0.3916456699371338,37.46175765991211,
DNN_Fold_4,0.25,6.819882869720459,1.4823726415634155,0.5202282667160034,26.385384798049927,
DNN_Fold_4,0.5,4.948062896728516,1.5737873315811157,0.6466734111309052,17.65502691268921,
DNN_Fold_4,0.75,5.26469087600708,1.3555941581726074,0.6712294220924377,20.985141396522522,
DNN_Fold_4,0.9,7.0383076667785645,0.783656656742096,0.6959767043590546,26.90110206604004,
DNN_Fold_4,mean,5.680431842803955,,,21.915458142757416,
DNN_Fold_4,Total,,6.1283005475997925,,,
DNN_Fold_5,0.1,10.816463470458984,1.0448194742202759,0.3381412625312805,44.97458636760712,
DNN_Fold_5,0.25,5.967813491821289,1.5546795129776,0.5045106709003448,22.320055961608887,
DNN_Fold_5,0.5,5.338158130645752,1.7989102602005005,0.6015765964984894,20.67686915397644,
DNN_Fold_5,0.75,5.440316200256348,1.4042718410491943,0.674959808588028,21.790236234664917,
DNN_Fold_5,0.9,7.248258590698242,0.8164668083190918,0.7002574801445007,27.691832184791565,
DNN_Fold_5,mean,5.589001178741455,,,20.62108963727951,
DNN_Fold_5,Total,,6.619147896766663,,,
DNN_Train_70_OOF,0.1,9.812076568603516,1.018081784248352,0.3528456687927246,40.44645130634308,3h 4m 55.67s
DNN_Train_70_OOF,0.25,7.17290735244751,1.6104580163955688,0.4874035120010376,25.40736198425293,3h 4m 55.67s
DNN_Train_70_OOF,0.5,7.415698051452637,1.8231637477874756,0.5929790437221527,20.48366516828537,3h 4m 55.67s
DNN_Train_70_OOF,0.75,9.953859329223633,1.4093097448349,0.6642089188098907,22.504721581935883,3h 4m 55.67s
DNN_Train_70_OOF,0.9,11.47700023651123,0.8343604803085327,0.6864461302757263,28.33617627620697,3h 4m 55.67s
DNN_Train_70_OOF,mean,6.828128337860107,,,21.72715663909912,3h 4m 55.67s
DNN_Train_70_OOF,Total,,6.695373773574829,,,3h 4m 55.67s
