Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
NN_Fold_1,0.1,9.838506698608398,0.9352717399597168,0.40976059436798096,39.56427574157715,
NN_Fold_1,0.25,7.605417728424072,1.6049164533615112,0.49041712284088135,25.734013319015503,
NN_Fold_1,0.5,11.142003059387207,1.8884048461914062,0.5671737790107727,19.7061225771904,
NN_Fold_1,0.75,15.717874526977539,1.482424020767212,0.6371654868125916,22.45723456144333,
NN_Fold_1,0.9,17.044511795043945,0.8325538635253906,0.6893367171287537,29.58923876285553,
NN_Fold_1,mean,6.302606582641602,,,22.075295448303223,
NN_Fold_1,Total,,6.743570923805237,,,
NN_Fold_2,0.1,9.096248626708984,0.9544084072113037,0.3950268626213074,44.08789873123169,
NN_Fold_2,0.25,6.7215046882629395,1.5206007957458496,0.5221860110759735,28.00663709640503,
NN_Fold_2,0.5,5.104783058166504,1.7360683679580688,0.619005411863327,21.13926261663437,
NN_Fold_2,0.75,5.884944438934326,1.3614044189453125,0.6754962503910065,25.26046633720398,
NN_Fold_2,0.9,7.255671501159668,0.8016132712364197,0.6902216374874115,29.13273274898529,
NN_Fold_2,mean,5.251071453094482,,,22.542332112789154,
NN_Fold_2,Total,,6.374095261096954,,,
NN_Fold_3,0.1,9.42810344696045,1.1444504261016846,0.2711799144744873,39.19655978679657,
NN_Fold_3,0.25,9.017119407653809,1.8219479322433472,0.4198428988456726,24.869373440742493,
NN_Fold_3,0.5,8.0908784866333,2.075512170791626,0.5368663966655731,21.81473672389984,
NN_Fold_3,0.75,10.03917407989502,1.5144561529159546,0.6437906324863434,24.551482498645782,
NN_Fold_3,0.9,13.794055938720703,0.8668206930160522,0.6802393794059753,32.766541838645935,
NN_Fold_3,mean,9.884504318237305,,,22.265824675559998,
NN_Fold_3,Total,,7.4231873750686646,,,
NN_Fold_4,0.1,9.372817993164062,0.9150031805038452,0.40330982208251953,38.97331953048706,
NN_Fold_4,0.25,6.649659633636475,1.4519946575164795,0.5300601422786713,25.49947500228882,
NN_Fold_4,0.5,5.07745361328125,1.6536868810653687,0.6287353932857513,18.332961201667786,
NN_Fold_4,0.75,5.364914417266846,1.3231852054595947,0.6790895462036133,21.551479399204254,
NN_Fold_4,0.9,7.7691121101379395,0.8180253505706787,0.6826432049274445,31.1827152967453,
NN_Fold_4,mean,5.312845706939697,,,20.049455761909485,
NN_Fold_4,Total,,6.161895275115967,,,
NN_Fold_5,0.1,9.575064659118652,0.9474810361862183,0.39980196952819824,42.70479679107666,
NN_Fold_5,0.25,6.7906694412231445,1.5843477249145508,0.4950551986694336,25.978675484657288,
NN_Fold_5,0.5,5.177726745605469,1.7676726579666138,0.6084951162338257,19.80055421590805,
NN_Fold_5,0.75,6.3264946937561035,1.395224690437317,0.6770538985729218,25.0801682472229,
NN_Fold_5,0.9,7.570847034454346,0.7870138883590698,0.7110702693462372,30.187582969665527,
NN_Fold_5,mean,6.036186218261719,,,21.491143107414246,
NN_Fold_5,Total,,6.4817399978637695,,,
NN_Train_70_OOF,0.1,9.465282440185547,0.9793705344200134,0.3774528503417969,40.905436873435974,2h 27m 39.32s
NN_Train_70_OOF,0.25,7.4122724533081055,1.596839189529419,0.4917382597923279,26.01790726184845,2h 27m 39.32s
NN_Train_70_OOF,0.5,7.326527118682861,1.8243812322616577,0.5927072465419769,20.159807801246643,2h 27m 39.32s
NN_Train_70_OOF,0.75,9.503179550170898,1.4153943061828613,0.6627591550350189,23.780624568462372,2h 27m 39.32s
NN_Train_70_OOF,0.9,11.414604187011719,0.8212239146232605,0.691382884979248,30.571648478507996,2h 27m 39.32s
NN_Train_70_OOF,mean,6.7783355712890625,,,21.68571501970291,2h 27m 39.32s
NN_Train_70_OOF,Total,,6.637209177017212,,,2h 27m 39.32s
