Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
XGB_Fold_1,0.1,7.95999461642282,0.7748914620899038,0.4519503531428679,34.39702770134915,
XGB_Fold_1,0.25,5.286941995903011,1.177911803012749,0.5912493109535948,20.164939132552668,
XGB_Fold_1,0.5,4.038283323201285,1.3283993966802026,0.6793796045235541,15.822799779881032,
XGB_Fold_1,0.75,4.383512989597057,1.0879999963786984,0.7164818712751785,17.639054929707246,
XGB_Fold_1,0.9,5.577101503544297,0.6765113468585207,0.7052882936273384,24.72563234370226,
XGB_Fold_1,mean,4.637929335883781,,,18.167027940801333,
XGB_Fold_1,Total,,5.0457140050200735,,,
XGB_Fold_2,0.1,7.947423465398186,0.8695395323267034,0.3888418562573608,34.54282635517999,
XGB_Fold_2,0.25,5.831639680473773,1.370417498254135,0.5214838633826342,21.148528326149542,
XGB_Fold_2,0.5,4.790817603863513,1.4599478035618518,0.6384479019020406,17.3183254812321,
XGB_Fold_2,0.75,5.226126158437442,1.164219406965224,0.6860228068058711,19.070357117190298,
XGB_Fold_2,0.9,6.648864882106348,0.7074005132327261,0.6812490897259609,25.500183922213616,
XGB_Fold_2,mean,4.9710436297979985,,,18.65092800879183,
XGB_Fold_2,Total,,5.571524754340641,,,
XGB_Fold_3,0.1,8.20650362632262,0.8511374054851861,0.3947183667611628,33.07990596744903,
XGB_Fold_3,0.25,5.300852898293307,1.276127930488317,0.5593430956799941,19.44528508910016,
XGB_Fold_3,0.5,4.658645573500046,1.477785179498408,0.6460311398150979,16.831327514107368,
XGB_Fold_3,0.75,5.217833304173901,1.1937563876174355,0.6790151963287172,19.110017066488897,
XGB_Fold_3,0.9,6.509191318864831,0.7409087121979201,0.6677382924450299,25.558531301191863,
XGB_Fold_3,mean,4.866801232820498,,,18.259829452970884,
XGB_Fold_3,Total,,5.539715615287267,,,
XGB_Fold_4,0.1,7.277878116725603,0.874175351075071,0.36007438480334875,31.568546543147935,
XGB_Fold_4,0.25,5.4350724788391345,1.342814171469608,0.523878574232085,21.276921680142223,
XGB_Fold_4,0.5,4.6971896652547835,1.486704761256108,0.6334888086085795,17.31631616460732,
XGB_Fold_4,0.75,4.994570479027596,1.1802165314724837,0.6857715325212771,19.02756355757173,
XGB_Fold_4,0.9,6.086907455532152,0.7297856526264738,0.6862684748284364,25.394166006892537,
XGB_Fold_4,mean,5.0012847391079935,,,19.1414439245573,
XGB_Fold_4,Total,,5.613696467899744,,,
XGB_Fold_5,0.1,7.137602279705357,0.9018427329412613,0.35330769823671293,31.599045655641056,
XGB_Fold_5,0.25,5.3525027459663095,1.3340856235222218,0.5157674822287298,21.473520146897187,
XGB_Fold_5,0.5,4.3116530113298515,1.3974162881504102,0.6431080504242221,17.375457253638487,
XGB_Fold_5,0.75,4.823849503153608,1.1377377028632634,0.6904590999640554,20.641207502960757,
XGB_Fold_5,0.9,5.974971640656356,0.6755794290009426,0.7083027971361027,27.292724877414347,
XGB_Fold_5,mean,4.7538721891068825,,,19.45371383086509,
XGB_Fold_5,Total,,5.4466617764780985,,,
XGBoost_Train_70_OOF,0.1,7.717439893817383,0.8543043076814301,0.39021357391942735,33.037863039619566,14.90 分鐘
XGBoost_Train_70_OOF,0.25,5.445171865334649,1.3002621629097724,0.5430052961145095,20.701627637995855,14.90 分鐘
XGBoost_Train_70_OOF,0.5,4.508191524845251,1.4300596030455572,0.6484184510975612,16.932724275275884,14.90 分鐘
XGBoost_Train_70_OOF,0.75,4.939031497353357,1.1527901101084448,0.692015595639274,19.097218368808562,14.90 分鐘
XGBoost_Train_70_OOF,0.9,6.171467140083231,0.7060454682872748,0.6904171447093082,25.693811162062484,14.90 分鐘
XGBoost_Train_70_OOF,mean,4.848108970654807,,,18.734391928915976,14.90 分鐘
XGBoost_Train_70_OOF,Total,,5.443461652032479,,,14.90 分鐘
