Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,24082751.768917147,1260073.694798398,0.29012283255754645,42.81949264263144
xgboost,0.25,18320195.573454186,2210586.4112931485,0.41477229547493366,29.024287157760035
xgboost,0.5,15625200.854377791,2855196.4361503543,0.5102185025202479,24.5830221922185
xgboost,0.75,16126614.35931896,2597796.487247775,0.5625758290611551,28.727418568121415
xgboost,0.9,14097887.191049378,1372314.8304862976,0.6972949256035873,37.457707915137064
xgboost,mean,15968034.472560357,,,24.729307596419257
xgboost,Total,,10295967.859975973,,
rf,0.1,24762258.78771134,1383930.2987209503,0.22034677459797591,39.458223745185414
rf,0.25,21636557.206843026,2311328.918617764,0.3881018581608837,28.10495474634822
rf,0.5,13594268.800573835,2794363.8977733008,0.5206537396074656,24.971146836850963
rf,0.75,11142936.65775522,2372808.209833117,0.6004599786479964,28.07175527956562
rf,0.9,13415148.598015035,1487294.322818373,0.6719327601534704,36.727501453515174
rf,mean,13321017.080477368,,,26.05572195470111
rf,Total,,10349725.647763506,,
lgb,0.1,23769161.333781682,1259453.237725067,0.29047237426415784,42.5664225212727
lgb,0.25,18371180.155317497,2272745.71708224,0.3983163235862157,29.744586868693755
lgb,0.5,14793172.715601405,2842472.9746113163,0.512401090018192,24.267680753290055
lgb,0.75,14449719.056627521,2505311.0217743507,0.5781487880120182,27.98988076038195
lgb,0.9,18009904.147533823,1718977.603422423,0.6208280842193031,37.23693230565029
lgb,mean,12969519.91386911,,,24.80308009797614
lgb,Total,,10598960.554615397,,
nn,0.1,20859915.362237323,1191009.7881613877,0.3290307874004852,45.5805183038199
nn,0.25,11188950.852127079,2117207.392757562,0.4394933325668141,29.419818872638047
nn,0.5,9902940.97468876,2652868.842289145,0.5449258559787123,25.038118683815163
nn,0.75,10952175.201549478,2170212.463671264,0.6345736117734587,30.18976199337122
nn,0.9,13446127.32055033,1273198.951215837,0.7191578967978859,40.68236759209063
nn,mean,10138797.24085337,,,24.934657738673124
nn,Total,,9404497.438095195,,
dnn,0.1,23249787.381642297,1221340.6884122773,0.3119435220723046,50.81591102866278
dnn,0.25,20370613.483891167,2276225.324652579,0.3973951369089457,31.900645246754976
dnn,0.5,10370061.764208563,2832921.005687721,0.5140396384501122,26.58488410481769
dnn,0.75,11808042.538832085,2449114.8380040033,0.5876112571532071,37.678211281580445
dnn,0.9,14402735.13966999,1280192.5591339865,0.7176152474304571,42.856952333639384
dnn,mean,23341081.496830497,,,26.003203696098996
dnn,Total,,10059794.415890567,,
cnn,0.1,27084966.254187316,1387597.511524377,0.21828080762473334,55.551541363941666
cnn,0.25,19490700.74418257,2303715.716467526,0.3901173671659639,32.11785636976412
cnn,0.5,13710442.420341628,2950760.9230720624,0.4938253335887589,26.534894500333152
cnn,0.75,12155926.677658482,2564381.1992139663,0.5682023878530476,32.43985547084129
cnn,0.9,12445449.39415372,1585855.087514768,0.6501922360789639,38.52214411935623
cnn,mean,12042940.710675355,,,26.101153637169404
cnn,Total,,10792310.4377927,,
Average_Ensemble,0.1,23799396.535866003,1229730.4764072169,0.3072170374532892,44.63362429927244
Average_Ensemble,0.25,17459121.611905817,2167783.623256203,0.42610384861493567,29.261850527149804
Average_Ensemble,0.5,11869359.266844727,2704431.428928345,0.5360807899866411,24.670124359882582
Average_Ensemble,0.75,11168259.492591128,2260958.3217825983,0.6192935727306241,30.349528004319055
Average_Ensemble,0.9,13000370.801559519,1352219.1075626216,0.7017276382490562,38.84115802922161
Average_Ensemble,mean,9325992.145843865,,,24.82295440417827
Average_Ensemble,Total,,9715122.957936985,,
