Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
DNN_Fold_1,0.1,7.18625545501709,1.0874638557434082,0.2685359716415405,32.8171044588089,
DNN_Fold_1,0.25,6.005244731903076,1.586207628250122,0.4767639636993408,24.51852411031723,
DNN_Fold_1,0.5,5.373615741729736,1.8232073783874512,0.5855386257171631,20.79828381538391,
DNN_Fold_1,0.75,6.207857608795166,1.4908008575439453,0.6307385861873627,24.377906322479248,
DNN_Fold_1,0.9,7.482274055480957,0.7678195834159851,0.6969030499458313,29.728150367736816,
DNN_Fold_1,mean,5.5865678787231445,,,21.94483131170273,
DNN_Fold_1,Total,,6.755499303340912,,,
DNN_Fold_2,0.1,9.359365463256836,1.1281877756118774,0.26078641414642334,35.50107479095459,
DNN_Fold_2,0.25,8.447834014892578,1.7098478078842163,0.4461422562599182,26.997479796409607,
DNN_Fold_2,0.5,11.663804054260254,1.9315075874328613,0.5662203133106232,19.191932678222656,
DNN_Fold_2,0.75,9.079435348510742,1.4704387187957764,0.6471799314022064,21.269866824150085,
DNN_Fold_2,0.9,12.751618385314941,0.8621551990509033,0.6864164173603058,28.020721673965454,
DNN_Fold_2,mean,9.954587936401367,,,20.41795402765274,
DNN_Fold_2,Total,,7.102137088775635,,,
DNN_Fold_3,0.1,9.062511444091797,0.8882477879524231,0.4314013719558716,43.66418719291687,
DNN_Fold_3,0.25,6.850901126861572,1.4924395084381104,0.5178787708282471,25.85223913192749,
DNN_Fold_3,0.5,5.267500400543213,1.7541471719741821,0.5995588302612305,20.455528795719147,
DNN_Fold_3,0.75,5.388065338134766,1.4048742055892944,0.6551812887191772,22.49181717634201,
DNN_Fold_3,0.9,7.343658447265625,0.8639436364173889,0.6651249527931213,29.520657658576965,
DNN_Fold_3,mean,5.391724109649658,,,21.709270775318146,
DNN_Fold_3,Total,,6.403652310371399,,,
DNN_Fold_4,0.1,9.321621894836426,0.9378032684326172,0.4065965414047241,40.52719473838806,
DNN_Fold_4,0.25,6.700764179229736,1.4999542236328125,0.5215685069561005,25.267040729522705,
DNN_Fold_4,0.5,4.950965881347656,1.679424524307251,0.6213012039661407,20.314522087574005,
DNN_Fold_4,0.75,5.4920454025268555,1.2887364625930786,0.690849781036377,23.077234625816345,
DNN_Fold_4,0.9,7.055665969848633,0.7320740818977356,0.7182706594467163,29.036954045295715,
DNN_Fold_4,mean,5.651211738586426,,,22.673873603343964,
DNN_Fold_4,Total,,6.137992560863495,,,
DNN_Fold_5,0.1,10.043293952941895,0.9436924457550049,0.4071308970451355,39.837846159935,
DNN_Fold_5,0.25,6.465694427490234,1.4924384355545044,0.5303177237510681,23.708826303482056,
DNN_Fold_5,0.5,6.289152145385742,1.7263405323028564,0.6177902221679688,18.588992953300476,
DNN_Fold_5,0.75,10.779277801513672,1.406787633895874,0.6638728082180023,23.880179226398468,
DNN_Fold_5,0.9,22.68191909790039,0.8519043326377869,0.6738928854465485,26.88189148902893,
DNN_Fold_5,mean,6.225606441497803,,,20.64352184534073,
DNN_Fold_5,Total,,6.421163380146027,,,
DNN_5Fold_OOF,0.1,9.045766653932203,0.9970790716108215,0.35771506253137486,38.46948055129039,4h 7m 13.97s
DNN_5Fold_OOF,0.25,6.943618007549829,1.5561775171762209,0.49950679123753516,25.268821950092992,4h 7m 13.97s
DNN_5Fold_OOF,0.5,7.1656420422286295,1.7829254087785498,0.5984495067222889,19.86985184429262,4h 7m 13.97s
DNN_5Fold_OOF,0.75,7.69883499624964,1.4123276014077608,0.6580256373862077,23.019401316734005,4h 7m 13.97s
DNN_5Fold_OOF,0.9,12.93653259683013,0.8155793812183455,0.6884093872656349,28.637676122089868,4h 7m 13.97s
DNN_5Fold_OOF,mean,6.783341787203416,,,21.47789067184528,4h 7m 13.97s
DNN_5Fold_OOF,Total,,6.564088980191698,,,4h 7m 13.97s
