Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE
xgboost,0.1,26994288.072281964,1266090.5130225078,0.36441242178755573,41.96555334602457
xgboost,0.25,21899679.691306274,2097410.3035369767,0.5006073824717326,25.98914227735602
xgboost,0.5,17135763.689223237,2655013.881511253,0.6019663387449257,21.13903090194692
xgboost,0.75,14313332.144126872,2356102.4604501585,0.6694295775549769,21.632168966027475
xgboost,0.9,14347185.064553963,1625778.7149517674,0.711846077217561,32.702576674581174
xgboost,mean,15866073.809041355,,,22.123422451815074
xgboost,Total,,10000395.873472663,,
rf,0.1,25731763.943260636,1289403.3052075568,0.35270921338826655,46.45641065419069
rf,0.25,20915170.123462573,2272376.282980731,0.4589480474787341,30.637962182789476
rf,0.5,13986788.262260186,2834339.316550195,0.5750822761184506,22.61890036073558
rf,0.75,12167474.236234002,2526006.8083108384,0.6455913307086066,25.75715975056677
rf,0.9,13414752.348050749,1744424.2233717288,0.6908172813812574,33.50007397043335
rf,mean,16126848.473098423,,,23.04892557005237
rf,Total,,10666549.936421052,,
lgb,0.1,25704445.94959437,1217528.1132835802,0.3887911354140916,40.8292783520379
lgb,0.25,21924806.33781238,2132660.5376065657,0.492214314777343,25.88922993823247
lgb,0.5,14181561.06428564,2491481.0648970734,0.6264828078246452,20.956979364047395
lgb,0.75,13481346.575608684,2299102.5139129385,0.6774268937678518,21.95239076337231
lgb,0.9,15943945.086979125,1750910.572525213,0.689667637253232,29.13962346232205
lgb,mean,17211746.21300041,,,23.641403603724694
lgb,Total,,9891682.80222537,,
nn,0.1,25350252.09413252,1441083.857877813,0.2765643610716143,62.56072907056968
nn,0.25,20448681.92298225,2425653.6409163973,0.4224527652451022,36.46750837127921
nn,0.5,11558945.967213025,2790382.5032154317,0.5816721819078632,24.40205931361983
nn,0.75,10085211.838953292,2423651.6591639854,0.6599521598579612,26.308929997249038
nn,0.9,17778494.825835057,1372906.5630225078,0.7566652779308726,42.76285238360457
nn,mean,12481229.203547562,,,23.888015927005835
nn,Total,,10453678.224196134,,
Average_Ensemble,0.1,25682154.792658787,1264180.1463330663,0.36537144116662146,46.4106862886878
Average_Ensemble,0.25,21074090.00635914,2136127.714969241,0.4913887811296531,28.42053538951949
Average_Ensemble,0.5,13829567.499777503,2604022.045413376,0.6096109191960847,21.426222883984252
Average_Ensemble,0.75,11987190.910851138,2198351.8307523574,0.6915626100421155,22.95166909152351
Average_Ensemble,0.9,13778604.912040068,1486393.9804011951,0.7365507050167557,34.45937947664716
Average_Ensemble,mean,15087867.2190627,,,22.104570902204905
Average_Ensemble,Total,,9689075.717869237,,
