Model,Quantile,RMSE,Check_Loss,Pseudo_R2,sMAPE,Execution_Time
XGB_Fold_1,0.1,8.504049960880891,1.0110170176124,0.3199566084432567,32.66125792141041,
XGB_Fold_1,0.25,5.992343595113765,1.5536418264235854,0.48750629352319697,22.568673276280656,
XGB_Fold_1,0.5,5.253655616061568,1.731867832124741,0.6063024467607226,19.812156955831956,
XGB_Fold_1,0.75,5.658992957551429,1.3552068707758846,0.664324279344887,21.591787445206897,
XGB_Fold_1,0.9,6.669318808034021,0.927251272224202,0.6339673570837726,25.963386073284937,
XGB_Fold_1,mean,5.679355372535017,,,21.102287370502577,
XGB_Fold_1,Total,,6.578984819160814,,,
XGB_Fold_2,0.1,9.523960974032779,1.0198705272224315,0.33175829405470836,37.43284236021503,
XGB_Fold_2,0.25,6.658675525246113,1.5142277150341552,0.5095079611200692,21.825652628751193,
XGB_Fold_2,0.5,5.614881204920796,1.662581574902595,0.6266159888999676,17.412328979193674,
XGB_Fold_2,0.75,5.942657769267023,1.376605865377987,0.6696943586758011,19.48376744672034,
XGB_Fold_2,0.9,7.074774388502313,0.8376105389312211,0.695343809774357,25.539997447346018,
XGB_Fold_2,mean,5.590630517609966,,,18.761015532956492,
XGB_Fold_2,Total,,6.4108962214683896,,,
XGB_Fold_3,0.1,9.56360549742807,0.9003444113374809,0.4236579098359222,36.577261393200146,
XGB_Fold_3,0.25,5.8524329789522005,1.3951179312420816,0.5493177497942674,22.53291531635553,
XGB_Fold_3,0.5,4.689603228064986,1.5565578485623661,0.6446650431629716,18.547865325292154,
XGB_Fold_3,0.75,5.160855149319114,1.277128608554747,0.6865357724198937,20.745313458907656,
XGB_Fold_3,0.9,6.7931082906941045,0.7686105691919308,0.70207723384785,29.04378140148129,
XGB_Fold_3,mean,5.239129276689674,,,20.74687986669859,
XGB_Fold_3,Total,,5.8977593688886065,,,
XGB_Fold_4,0.1,9.798739654273971,0.974628855111786,0.3832948013747457,37.84574349347411,
XGB_Fold_4,0.25,6.193953847954279,1.4300244996573093,0.5438735625028293,22.453582843279506,
XGB_Fold_4,0.5,4.929000542277017,1.594585190448708,0.6404318841205705,18.562575317527745,
XGB_Fold_4,0.75,4.9668480937605475,1.3058681224871236,0.6867401646304858,20.22763665939678,
XGB_Fold_4,0.9,6.342341683504226,0.7647990360996707,0.7056768877066306,26.63294662040409,
XGB_Fold_4,mean,5.264656941767438,,,19.571393222746796,
XGB_Fold_4,Total,,6.069905703804598,,,
XGB_Fold_5,0.1,10.13487227362995,0.9311576446990891,0.41500584646471605,36.10559771424933,
XGB_Fold_5,0.25,6.527435471084978,1.4707558677274588,0.537141374051864,21.611538699641276,
XGB_Fold_5,0.5,5.238597249768069,1.6310841162353316,0.6388798894139485,17.89075368935124,
XGB_Fold_5,0.75,5.567019233679018,1.2834196830818843,0.6933494311968713,19.949099153901468,
XGB_Fold_5,0.9,7.138854316017465,0.8084939541534912,0.6905102973455579,27.456929170071,
XGB_Fold_5,mean,5.827083054895067,,,18.941409779917205,
XGB_Fold_5,Total,,6.124911265897255,,,
XGBoost_5Fold_OOF,0.1,9.520695107136778,0.9674036910954078,0.3768309485843314,36.12454016405206,12.06 分鐘
XGBoost_5Fold_OOF,0.25,6.252512960652712,1.4727535902216504,0.5263373477956469,22.19847253771128,12.06 分鐘
XGBoost_5Fold_OOF,0.5,5.154766999790255,1.635335305603169,0.6316897524673892,18.44513599682276,12.06 分鐘
XGBoost_5Fold_OOF,0.75,5.47055927761715,1.319645830346896,0.6804671655081989,20.399521072646213,12.06 分鐘
XGBoost_5Fold_OOF,0.9,6.809803441690294,0.8213530515146029,0.6862035670760054,26.927408451562112,12.06 分鐘
XGBoost_5Fold_OOF,mean,5.525037745216097,,,19.82459716908909,12.06 分鐘
XGBoost_5Fold_OOF,Total,,6.216491468781726,,,12.06 分鐘
