土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,dnn_qmean,dnn_q0.1,dnn_q0.25,dnn_q0.5,dnn_q0.75,dnn_q0.9,cnn_qmean,cnn_q0.1,cnn_q0.25,cnn_q0.5,cnn_q0.75,cnn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市萬華區中華路二段４９８巷１１號,25.02592002,121.507111,12699999.999999996,11665275.0,7825528.0,9553919.0,12706812.0,14131578.0,18374400.0,11071885.154340615,8724223.05257041,9849517.963322911,12699999.999999996,12699999.999999996,14281425.718946902,12383504.347814828,7269310.7603956275,9908795.43161639,12706796.766240548,15603159.157018133,19438140.728200894,12618296.0,6775893.0,8478748.0,12866973.0,15020709.0,19459350.0,12938415.0,6018626.0,10142064.0,12243632.0,16317706.0,24110348.0,12266984.0,6689432.0,8680271.0,10569154.0,18356570.0,21847752.0,12157393.250359243,7217168.802161005,9435552.565823218,12298894.627706757,15354953.692836354,19585236.074524634
臺北市北投區三合街一段６９號,25.12671211,121.5056256,67000000.00000012,61507490.0,43296730.0,59641490.0,65723244.0,66335060.0,92885670.0,58106899.385529324,43296125.98071095,55469814.01916185,66523282.78150404,67000000.00000012,68486262.16217257,61947147.01790163,50215551.99852804,59900383.91116235,67022516.47151451,68044606.53702043,80569639.77780512,56673510.0,38340636.0,39639116.0,58175280.0,78602080.0,98553000.0,54019176.0,26668948.0,48740396.0,53089760.0,76166460.0,93304370.0,49449624.0,15747965.0,30061496.0,45866732.0,80444290.0,94868830.0,56950641.06723849,36260992.82987317,48908782.65505403,59400135.87550309,72765416.08950342,88111295.32332961
臺北市中正區齊東街８２巷３８號,25.04237998,121.528491,16500000.000000011,20025960.0,10428462.0,16453939.0,19633080.0,27376838.0,31911550.0,19163387.846471302,12638580.673013397,15520953.580823995,16500000.000000011,16500000.000000011,24468106.518196218,19523086.211368203,12715683.530382749,16512553.968841972,19876970.15088061,27039988.849713817,30193192.55851678,18307270.0,7888273.5,17412666.0,18224456.0,18881560.0,26269960.0,17301398.0,10074199.0,13232893.0,16507472.0,25014148.0,28524584.0,16725870.0,8209002.0,10356350.0,13909172.0,22989192.0,30704378.0,18507828.676306587,10325700.11723269,14914892.591610992,17441858.358480103,22966954.474952307,28678628.512785498
臺北市北投區自強街１２０巷１５弄１７號四樓,25.110686,121.516559,16000000.000000026,18536712.0,14923644.0,16252725.0,16913608.0,18605004.0,20174596.0,15988687.000712082,14500456.43593594,15285799.974320635,16059554.997015106,16999999.999999974,19150847.537552003,16897861.153746653,15620188.2793319,15992976.205314286,16187932.065554308,19364994.213165745,19779151.417437863,16922674.0,7747823.5,16674523.0,17972362.0,19479588.0,22697018.0,15183195.0,9295261.0,14570432.0,15890348.0,23419016.0,31085516.0,17939962.0,9418868.0,11895738.0,15372751.0,25482124.0,38087496.0,16911515.192409787,11917706.869211307,15112032.363272488,16399426.010428235,20558454.368860953,25162437.49249831
臺北市文山區新光路一段９５巷２２號二樓,24.99115201,121.574704,16299999.99999999,15347819.0,12328862.0,14798218.0,16012870.0,16381134.0,20000766.0,15457334.84184563,12397784.662659988,14888922.060450068,16028847.696758032,16299999.99999999,17219367.93098186,15531341.435755402,11812105.035793671,14834160.83398842,15581123.657738838,16309696.621667009,16501109.83745859,15755205.0,6972173.5,15755416.0,16257500.0,17742322.0,22338060.0,14739710.0,8409918.0,13033750.0,15431505.0,23369576.0,30503404.0,17223004.0,8739362.0,11221189.0,13972962.0,23496600.0,23812144.0,15675735.712933505,10110034.199742276,14088609.315739749,15547468.059082812,18933221.4369445,21729141.96140674
臺北市內湖區星雲街１６８巷３７號,25.08008899,121.597329,15000000.00000001,12900885.0,9835408.0,11608300.0,14786340.0,16145943.0,21096712.0,10736808.44893792,7753976.474671894,11951240.883562054,15000000.00000001,15000000.00000001,17126885.984894957,13636399.912164189,7884785.112726252,14884930.4007984,14994543.171484737,16096162.50071392,19688615.15351728,13671295.0,6225076.0,12799684.0,14380206.0,16079070.0,19337732.0,13765203.0,7645876.0,11045893.0,15129570.0,22257254.0,31225996.0,12259966.0,5531319.0,7921927.0,11708587.0,17940476.0,19921956.0,12828426.226850351,7479406.764566357,11701995.880726742,14333207.695247456,17253150.916785654,21399649.523068707
臺北市北投區行義路１４２之１３號,25.129857,121.528211,7100000.000000005,9017510.0,5635463.0,7404124.0,8962434.0,11652666.0,15306452.0,8030360.646943482,6878183.013884665,6996378.538600788,7100000.000000005,8299999.999999997,11240786.80379532,9367467.376127768,5546486.850906761,6943348.697158199,8837413.248661017,12972407.944422193,17733785.200251892,9104215.0,6493818.0,8758035.0,9050421.0,13330118.0,17113796.0,10327747.0,5069302.5,8377946.0,11108962.0,14744799.0,24840798.0,7740290.5,4820997.5,6321991.0,7515860.5,13018868.0,15458637.0,8931265.087178541,5740708.4774652375,7466970.539293165,8762515.124776836,12336476.49073703,16949042.500674535
臺北市中正區詔安街４３號四樓,25.025557,121.51222,14580000.000000026,14688520.0,10924099.0,14152672.0,14612931.0,16125815.0,18494968.0,14501762.922915826,12935313.148312936,13799765.60616839,14580000.000000026,14580000.000000026,18102510.93354077,14320608.21561989,9588649.626463952,14562944.704477904,14609852.99522244,18288104.657494828,18310369.22488199,14523348.0,5355864.5,12780656.0,13848604.0,15889924.0,19245926.0,13744870.0,8820708.0,12491356.0,13637204.0,20073074.0,26857564.0,10742292.0,7053337.0,8903448.0,11884671.0,19656986.0,27593452.0,13753566.856422618,9112995.212462815,12781807.051774383,13862210.499203743,17435650.609582476,21434131.69307046
臺北市大安區敦化南路二段４６號十四樓之１２,25.03123699,121.548312,30000000.00000005,27591768.0,18235548.0,24999124.0,27293260.0,28660052.0,30894478.0,24494128.093284182,17895588.20719986,24595800.55464261,29799497.20240441,30000000.00000005,31081245.065109625,28419582.78032025,19460205.26434467,24397930.543545127,29594412.29460872,30090423.17412937,32467220.31216446,22680572.0,7380204.0,19918802.0,21705328.0,28322100.0,30783658.0,23263820.0,11329492.0,17176190.0,23306146.0,28496416.0,34854524.0,22331414.0,13114921.0,14547745.0,21499846.0,34134508.0,45667700.0,24796880.812267404,14569326.411924088,20939265.34969796,25533081.58283552,29950583.195688237,34291470.89621235
臺北市中山區民權東路二段１５２巷５弄１號,25.06146,121.534672,22079999.999999966,21830590.0,13329152.0,18187544.0,22662498.0,23257432.0,27238916.0,20140710.338371977,16265254.042047707,20353821.06160222,22192341.028276328,22200000.000000004,23136946.389056053,21316516.26819828,13239061.541742222,19394237.10989227,22015804.753508948,23023769.168714564,26194438.622979827,20757916.0,8404522.0,18429542.0,19169138.0,22313192.0,26303804.0,19249340.0,10386656.0,15013463.0,20557404.0,28045792.0,30212212.0,24089480.0,11111716.0,14311444.0,19476988.0,33422484.0,38216010.0,21230758.76776171,12122726.930631654,17615008.528582413,21012362.296964213,25377111.5281191,28550387.83533931
