土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9,Ensemble_qmean,Ensemble_q0.1,Ensemble_q0.25,Ensemble_q0.5,Ensemble_q0.75,Ensemble_q0.9
臺北市萬華區中華路二段４９８巷１１號,25.02592002,121.507111,12699999.999999996,10120074.0,9252437.0,10164043.0,11879934.0,12562702.0,14093812.0,11035746.977950525,8083264.900635593,9994032.665032094,12185847.148308989,12878103.275984423,13651016.600017764,10360749.66384492,7642226.279852584,10616252.199554147,12192185.850841682,12479571.26438909,14289498.525747674,11534430.0,7954321.0,9372400.0,11391073.0,12857846.0,14271918.0,10762750.16044886,8233062.295122044,10036681.96614656,11912259.999787668,12694555.635093378,14076561.281441359
臺北市北投區三合街一段６９號,25.12671211,121.5056256,67000000.00000012,59547710.0,45209064.0,58817936.0,60708750.0,66054264.0,70440310.0,58101397.1598659,44016883.85047367,49383702.56097344,65818926.07062988,66823172.52778211,69105327.82530329,57326796.63646485,38813763.08746861,54350155.90625887,65895406.40233831,66946041.92988592,85777309.85440455,55148944.0,41081120.0,42950696.0,52574130.0,61171130.0,77081930.0,57531211.94908269,42280207.73448557,51375622.61680808,61249303.11824205,65248652.11441701,75601219.41992696
臺北市中正區齊東街８２巷３８號,25.04237998,121.528491,16500000.000000011,21764402.0,11970210.0,15977725.0,23224894.0,29994772.0,31682122.0,18758310.335220624,14591231.290519455,16091266.244798051,16592655.703036264,20484418.592245605,25262508.815114874,22782226.36639072,13152782.003997374,17899013.713278025,21674234.21953766,27601307.7026836,32549435.39184949,21146022.0,12300347.0,17706554.0,22270460.0,23658088.0,37711460.0,21112740.175402835,13003642.573629208,16918639.73951902,20940560.98064348,25434646.5737323,31801381.55174109
臺北市北投區自強街１２０巷１５弄１７號四樓,25.110686,121.516559,16000000.000000026,17577208.0,14730604.0,16341065.0,17520808.0,19225490.0,20155866.0,16094904.956646329,13389493.705100808,15022869.47312978,16604534.959507862,17704239.261198454,19539831.335604604,18205963.328350484,15684988.249824451,16007570.3173899,16104250.269883843,17732594.56011544,18936405.62098916,16948096.0,14317942.0,14319908.0,17856358.0,18920098.0,21782758.0,17206543.071249202,14530756.988731315,15422853.19762992,17021487.807347924,18395605.455328472,20103715.23914844
臺北市文山區新光路一段９５巷２２號二樓,24.99115201,121.574704,16299999.99999999,14895547.0,11926044.0,12875148.0,15550134.0,16315838.0,17951806.0,15130601.323714856,12048125.73046052,13914831.413668174,15762206.041800903,16484274.9679096,17125611.78137947,14110171.019949492,12378779.527444962,12905842.70765094,16155873.6819178,16426475.336265717,16528884.209740397,13799324.0,10668926.0,13239912.0,15874626.0,17428216.0,18159882.0,14483910.835916087,11755468.81447637,13233933.530329779,15835709.930929676,16663701.07604383,17441545.997779965
臺北市內湖區星雲街１６８巷３７號,25.08008899,121.597329,15000000.00000001,12513486.0,8051385.0,12165348.0,14161204.0,15093340.0,19443842.0,11591461.82977572,6084949.011130085,9851165.335349023,14985640.871274916,15000000.00000001,16123613.415179688,12948108.828584865,9549465.000073262,12876145.917384395,14950808.405702844,15015313.085928706,17719995.86766886,12984646.0,8439083.0,12677786.0,14186996.0,16327450.0,17350142.0,12509425.664590146,8031220.502800837,11892611.313183354,14571162.31924444,15359025.771482179,17659398.320712134
臺北市北投區行義路１４２之１３號,25.129857,121.528211,7100000.000000005,6385079.0,4123027.8,5097751.0,6316284.0,7577488.5,11205405.0,6877904.128459441,5628662.738643605,5914955.656070881,6998648.540946412,7385004.660979853,8103885.656371081,6249598.475274675,4713341.650875718,5560978.499693714,6505722.552738123,7163976.225484734,8441268.505548257,6752598.5,4810026.0,5819683.0,7056586.5,8377379.0,9841431.0,6566295.025933528,4818764.547379831,5598342.038941149,6719310.398421134,7625962.096616147,9397997.540479835
臺北市中正區詔安街４３號四樓,25.025557,121.51222,14580000.000000026,15558292.0,10097091.0,12293170.0,14574880.0,15376974.0,16721309.0,14648668.530935768,12531128.41438973,13740589.662749492,14580000.000000026,15668986.31471699,16766465.381929658,14701951.588910734,10680053.14834292,14456734.680034822,14574784.51987337,14858922.647081813,15073214.290141072,13591554.0,11870398.0,12469147.0,14144171.0,15281715.0,17541070.0,14625116.529961625,11294667.640683163,13239910.335696079,14468458.879968349,15296649.4904497,16525514.668017682
臺北市大安區敦化南路二段４６號十四樓之１２,25.03123699,121.548312,30000000.00000005,27369476.0,20832046.0,24754480.0,26701880.0,29790200.0,30945432.0,25457299.504768614,18932034.89674597,22062052.058232136,29247982.831660017,29776111.06101262,31260353.096916497,26458251.408884976,19093286.43724446,26049138.855131608,29888453.73924986,30450262.18957458,32877853.134146243,28191456.0,21859214.0,25287968.0,28749786.0,29993456.0,33976860.0,26869120.728413396,20179145.333497606,24538409.728340935,28647025.64272747,30002507.3126468,32265124.557765685
臺北市中山區民權東路二段１５２巷５弄１號,25.06146,121.534672,22079999.999999966,24620608.0,18900658.0,22147912.0,23101190.0,23174360.0,26567610.0,22386368.64509477,19545892.680510804,21336913.48445502,22349333.38269257,22864316.024858236,24216161.87100297,23667609.916431382,19786284.626992173,22152688.75868336,22738926.89953061,22865298.25461199,28393425.003096063,23430812.0,18652972.0,21627636.0,23612060.0,24198668.0,29176418.0,23526349.640381537,19221451.826875746,21816287.560784593,22950377.570555795,23275660.56986756,27088403.718524758
