土地位置建物門牌,緯度,經度,actual_price,xgboost_qmean,xgboost_q0.1,xgboost_q0.25,xgboost_q0.5,xgboost_q0.75,xgboost_q0.9,rf_qmean,rf_q0.1,rf_q0.25,rf_q0.5,rf_q0.75,rf_q0.9,lgb_qmean,lgb_q0.1,lgb_q0.25,lgb_q0.5,lgb_q0.75,lgb_q0.9,nn_qmean,nn_q0.1,nn_q0.25,nn_q0.5,nn_q0.75,nn_q0.9
臺北市大安區仁愛路四段４０８巷９號三樓,25.0371800153689,121.557020014877,28880000.000000000,31193910.0,24239364.0,28875966.0,29346140.0,33827170.0,36469450.0,28803982.63593340,26865740.1937744,28880000.000000000,28880000.000000000,29767859.97660130,31858476.760918800,32523638.9614942,25179202.528186400,28611701.92114350,28919726.01776980,32838930.294381800,35453455.09768310,27273174.0,21993040.0,27206412.0,31452362.0,32772784.0,36045530.0
臺北市信義區永吉路３５４號十四樓之１,25.0450199865946,121.576610031341,38000000.00000000,24729562.0,20499806.0,26348494.0,31027760.0,31431732.0,36723456.0,32178555.58373120,26848605.885974700,31900000.000000000,37403390.78542850,38000000.00000000,38000000.00000000,26138595.90642510,21746889.651824000,27050098.71441870,28929592.25759140,30095515.4026939,33633959.71930600,27853028.0,17656338.0,22648756.0,29098836.0,33234638.0,37872204.0
臺北市士林區重慶北路四段２０６號二樓,25.0853700074765,121.511629997525,43799999.99999990,54595816.0,38843744.0,44694810.0,45501896.0,49846210.0,56091936.0,47119458.24942440,38022184.76840620,43799999.99999990,43799999.99999990,50102861.14377120,63530061.74755180,54922594.23382010,37507724.22161790,45909849.42330630,47695496.38153890,51415564.55245210,57978876.89088880,48490310.0,36674736.0,43475890.0,55749870.0,59379172.0,70870070.0
臺北市文山區政大二街１７１巷１９號,24.98942701,121.585248,33360000.00000010,32160732.0,32774660.0,33106078.0,33383112.0,36478560.0,44890624.0,34469724.429319,26047588.871078600,33360000.00000010,33360000.00000010,38211188.867023700,43597131.98828400,31111583.1670029,27002958.9469182,27656600.750269300,33394956.1608358,35551901.45924900,39251345.8062525,33284564.0,24433624.0,28418148.0,31575282.0,36502016.0,39984160.0
臺北市北投區尊賢街２１８巷２３弄６號二樓,25.116069985142,121.508709993916,17980000.000000000,18158046.0,14363841.0,16684322.0,17975550.0,19588980.0,21578478.0,17711879.506959900,15311928.831187800,17674982.319652700,17980000.000000000,18214479.40003030,19199385.78357960,19789053.798766300,15489586.476680600,17541601.40237740,17965963.14001940,21094773.29886640,22091298.98480260,19255104.0,14562042.0,16512101.0,18151918.0,18786042.0,21689352.0
臺北市松山區民生東路五段２２８之１號三樓,25.058919989997,121.565769967421,33000000.00000000,29595210.0,23205102.0,28035576.0,32614272.0,32879850.0,33175168.0,30728474.985797200,27807404.493123700,32899388.37065390,32939945.35514760,33000000.00000000,33694262.66313910,28564898.884419500,22760221.23387550,29291873.61357400,31249831.15478970,33012910.73713120,33061486.54648690,28305520.0,20991910.0,28139080.0,31163878.0,33831876.0,35645092.0
臺北市內湖區東湖路１０６巷７弄１５號,25.06820001,121.614307,18500000.000000000,17890518.0,12574688.0,16208363.0,18545872.0,20483196.0,24029228.0,17569914.534350100,14524146.112323500,18500000.000000000,18500000.000000000,19487749.91930320,21517263.101656900,18585639.61897510,14036625.337768000,16508656.251281500,18631735.215409900,20018091.910595900,22098974.963314200,19800428.0,18823236.0,20093912.0,20141762.0,22611894.0,22789806.0
臺北市南港區昆陽街１７７號,25.04827992,121.5940283,116000000.00000000,97545570.0,40492536.0,86090220.0,116520290.0,122960376.0,159757220.0,107648623.32627700,75746702.23065290,116000000.00000000,116000000.00000000,121405746.27957100,134044477.13508100,102614029.3683230,40813418.590137000,87450841.74365880,116103605.69396500,127315334.41242400,175689366.7328070,113972740.0,63755610.0,75645110.0,87557260.0,125262210.0,163081310.0
臺北市中山區南京東路一段１０６號十樓,25.051900020359,121.526369993354,185260000.0000000,172627740.0,38267504.0,110566080.0,157429280.0,191179940.0,225923780.0,182695703.73697800,139460786.84044000,185260000.0000000,185260000.0000000,195940609.06654900,208747969.52322700,149821802.44889500,45966695.872676700,104850781.41916200,174551049.36195600,187296105.2925850,189372690.1934870,235196590.0,113895580.0,172856420.0,184122300.0,250123000.0,338847870.0
臺北市南港區研究院路二段１８２巷７８弄１０號,25.036344,121.613827,7000000.000000000,12697726.0,9208651.0,12724395.0,12967494.0,14557821.0,17875748.0,10579139.32121020,7000000.000000000,7000000.000000000,7082795.899353610,13319375.529681800,16094193.574264000,11585756.775796500,7912145.807655600,11786475.32492910,12803998.732234500,14468223.473226800,17278584.79049420,14656085.0,9882965.0,12863145.0,14947402.0,17659234.0,20320654.0
臺北市松山區撫遠街３７４號五樓,25.0636900053656,121.565729985743,24500000.000000000,18557018.0,15390647.0,17597402.0,20566228.0,21207660.0,23198242.0,19918800.6806491,16113043.54239900,21680000.000000000,24103104.82381720,24500000.000000000,24841164.23474970,19334346.10631480,15219681.205819200,18625131.930409000,20733473.12792460,21456262.07684550,23679248.41563780,18070220.0,14631561.0,17008784.0,18208126.0,21357692.0,23548868.0
臺北市大同區南京西路６１號十樓之２,25.05307998,121.51913,9500000.000000020,8204431.5,7423312.5,7848421.0,9493611.0,10252459.0,12876720.0,8145275.753238450,5947410.82183904,8390000.0,9500000.000000020,9635047.947474640,10079140.730782900,8734724.515954880,7669534.670411110,9493996.543490350,9515428.545352040,10284412.445048200,11370012.645729600,8794837.0,6102123.0,6676086.5,7890147.0,10009557.0,11006608.0
臺北市士林區中山北路六段４０５巷８９號四樓,25.1173421281906,121.526021122086,66000000.00000000,66118676.0,46467180.0,62026680.0,67407190.0,73480856.0,78327750.0,65790483.31688160,61160248.96495440,66000000.00000000,66000000.00000000,67459654.77905250,69891360.36107370,70252214.79255950,44992743.07131300,63698916.71904880,66868467.72675720,71303328.32484610,82099882.26556540,66092200.0,47528490.0,51819200.0,62323150.0,70630680.0,83493410.0
臺北市大安區溫州街７０號,25.01998999,121.53284,32000000.000000000,28483484.0,23379296.0,29149830.0,30875450.0,31413092.0,34659620.0,30647216.047572100,28731562.341538200,32000000.000000000,32000000.000000000,33021446.598461200,36060795.36841530,28485733.80672870,24029336.720036500,27682325.00356470,31652855.41959560,31693106.339698900,34067115.298198700,27993364.0,21997528.0,26296228.0,29501710.0,31778834.0,35470384.0
